file,expected_verdict,expected_attack_type,final_verdict,final_attack_type,pass,final_risk_score,ml_executed,ml_risk_score,ml_predicted_verdict,ml_predicted_attack_type,rule_score,verdict_source,decision_source,fusion_reason,raw_evidence_override_applied,pre_override_verdict,pre_override_attack_type,pre_override_risk_score,worst_chunk,chunk_count,model_version,model_sequence_length,final_matches_ml_label,final_matches_ml_type,final_matches_ml_label_and_type
python/001_SAFE_stress_py.py,SAFE,NONE,SAFE,NONE,True,0.25,True,0.8522,VULNERABLE,IN_BAND,0.25,rule_safety_net,rule_safety_net,rule_safety_net,False,SAFE,NONE,0.25,Repo,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
python/002_SAFE_stress_py.py,SAFE,NONE,SAFE,NONE,True,0.08,True,0.8522,VULNERABLE,IN_BAND,0.9,raw_safe_allowlisted_identifier,raw_evidence_override,raw_safe_allowlisted_identifier,True,VULNERABLE,IN_BAND,0.9,__file__,5,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
python/003_SAFE_stress_py.py,SAFE,NONE,SAFE,NONE,True,0.25,True,0.8522,VULNERABLE,IN_BAND,0.25,rule_safety_net,rule_safety_net,rule_safety_net,False,SAFE,NONE,0.25,Repo,5,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
python/004_SAFE_stress_py.py,SAFE,NONE,SAFE,NONE,True,0.25,True,0.8522,VULNERABLE,IN_BAND,0.25,rule_safety_net,rule_safety_net,rule_safety_net,False,SAFE,NONE,0.25,Repo,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
python/005_SAFE_stress_py.py,SAFE,NONE,SAFE,NONE,True,0.25,True,0.0,SAFE,NONE,0.9,raw_no_valid_sql_sink,raw_evidence_override,raw_no_valid_sql_sink,True,VULNERABLE,IN_BAND,0.9,__file__,1,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/006_IN_BAND_stress_py.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.9,ml_confident_vulnerable_evidence_typed,ml_supported_by_evidence,ml_confident_vulnerable_evidence_typed,False,VULNERABLE,IN_BAND,1.0,__file__,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/007_IN_BAND_stress_py.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.9,ml_confident_vulnerable_evidence_typed,ml_supported_by_evidence,ml_confident_vulnerable_evidence_typed,False,VULNERABLE,IN_BAND,1.0,__file__,5,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/008_IN_BAND_stress_py.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.9,raw_python_inband_concat,ml_supported_by_evidence,raw_python_inband_concat,False,VULNERABLE,IN_BAND,1.0,__file__,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/009_IN_BAND_stress_py.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.9,ml_confident_vulnerable_evidence_typed,ml_supported_by_evidence,ml_confident_vulnerable_evidence_typed,False,VULNERABLE,IN_BAND,1.0,__file__,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/010_IN_BAND_stress_py.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.9,ml_confident_vulnerable_evidence_typed,ml_supported_by_evidence,ml_confident_vulnerable_evidence_typed,False,VULNERABLE,IN_BAND,1.0,__file__,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/011_BLIND_stress_py.py,VULNERABLE,BLIND,VULNERABLE,BLIND,True,1.0,True,1.0,VULNERABLE,BLIND,0.9,raw_blind_boolean_sink,ml_supported_by_evidence,raw_blind_boolean_sink,False,VULNERABLE,BLIND,1.0,__file__,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/012_BLIND_stress_py.py,VULNERABLE,BLIND,VULNERABLE,BLIND,True,1.0,True,1.0,VULNERABLE,BLIND,0.9,ml_confident_with_blind_evidence,ml_supported_by_evidence,ml_confident_with_blind_evidence,False,VULNERABLE,BLIND,1.0,__file__,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/013_BLIND_stress_py.py,VULNERABLE,BLIND,VULNERABLE,BLIND,True,1.0,True,1.0,VULNERABLE,BLIND,0.9,raw_blind_boolean_sink,ml_supported_by_evidence,raw_blind_boolean_sink,False,VULNERABLE,BLIND,1.0,__file__,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/014_BLIND_stress_py.py,VULNERABLE,BLIND,VULNERABLE,BLIND,True,1.0,True,1.0,VULNERABLE,BLIND,0.25,raw_time_based_blind,ml_primary,raw_time_based_blind,False,VULNERABLE,BLIND,1.0,__file__,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/015_BLIND_stress_py.py,VULNERABLE,BLIND,VULNERABLE,BLIND,True,1.0,True,1.0,VULNERABLE,BLIND,0.9,raw_blind_boolean_sink,ml_supported_by_evidence,raw_blind_boolean_sink,False,VULNERABLE,BLIND,1.0,__file__,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/016_SECOND_ORDER_stress_py.py,VULNERABLE,SECOND_ORDER,VULNERABLE,SECOND_ORDER,True,1.0,True,1.0,VULNERABLE,SECOND_ORDER,0.9,ml_confident_with_second_order_evidence,ml_confident_with_second_order_evidence,ml_confident_with_second_order_evidence,True,VULNERABLE,IN_BAND,1.0,__file__,5,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/017_SECOND_ORDER_stress_py.py,VULNERABLE,SECOND_ORDER,VULNERABLE,SECOND_ORDER,True,0.9,True,0.6832,SUSPICIOUS,IN_BAND,0.9,raw_second_order_flow,rule_primary,raw_second_order_flow,False,VULNERABLE,SECOND_ORDER,0.9,__file__,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,False,False
python/018_SECOND_ORDER_stress_py.py,VULNERABLE,SECOND_ORDER,VULNERABLE,SECOND_ORDER,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.9,ml_confident_with_second_order_evidence,ml_confident_with_second_order_evidence,ml_confident_with_second_order_evidence,True,VULNERABLE,IN_BAND,1.0,__file__,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,False,False
python/019_SECOND_ORDER_stress_py.py,VULNERABLE,SECOND_ORDER,VULNERABLE,SECOND_ORDER,True,1.0,True,1.0,VULNERABLE,SECOND_ORDER,0.9,ml_confident_with_second_order_evidence,ml_confident_with_second_order_evidence,ml_confident_with_second_order_evidence,True,VULNERABLE,IN_BAND,1.0,__file__,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/020_SECOND_ORDER_stress_py.py,VULNERABLE,SECOND_ORDER,VULNERABLE,SECOND_ORDER,True,0.9,True,0.5433,SUSPICIOUS,IN_BAND,0.9,raw_second_order_flow,rule_primary,raw_second_order_flow,False,VULNERABLE,SECOND_ORDER,0.9,__file__,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,False,False
javascript/021_SAFE_stress_js.js,SAFE,NONE,SAFE,NONE,True,0.0004,True,0.0004,SAFE,NONE,0.25,ml,ml_primary,ml,False,SAFE,NONE,0.0004,__file__,1,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
javascript/022_SAFE_stress_js.js,SAFE,NONE,SAFE,NONE,True,0.08,True,0.001,SAFE,NONE,0.9,raw_safe_allowlisted_identifier,raw_evidence_override,raw_safe_allowlisted_identifier,True,VULNERABLE,IN_BAND,0.9,__file__,1,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
