file,expected_verdict,expected_attack_type,final_verdict,final_attack_type,pass,final_risk_score,ml_executed,ml_risk_score,ml_predicted_verdict,ml_predicted_attack_type,rule_score,verdict_source,decision_source,fusion_reason,raw_evidence_override_applied,pre_override_verdict,pre_override_attack_type,pre_override_risk_score,worst_chunk,chunk_count,model_version,model_sequence_length,final_matches_ml_label,final_matches_ml_type,final_matches_ml_label_and_type
python/001_SAFE_basic_parameterized_lookup.py,SAFE,NONE,SAFE,NONE,True,0.25,True,0.8522,VULNERABLE,IN_BAND,0.25,rule_safety_net,rule_safety_net,rule_safety_net,False,SAFE,NONE,0.25,AccountRepository,6,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
python/002_SAFE_insert_parameterized.py,SAFE,NONE,SAFE,NONE,True,0.25,True,0.8522,VULNERABLE,IN_BAND,0.25,rule_safety_net,rule_safety_net,rule_safety_net,False,SAFE,NONE,0.25,AuditWriter,6,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
python/003_SAFE_update_parameterized.py,SAFE,NONE,SAFE,NONE,True,0.25,True,0.8522,VULNERABLE,IN_BAND,0.25,rule_safety_net,rule_safety_net,rule_safety_net,False,SAFE,NONE,0.25,ProfileUpdater,6,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
python/004_IN_BAND_select_raw_email.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.9,raw_python_inband_concat,ml_supported_by_evidence,raw_python_inband_concat,False,VULNERABLE,IN_BAND,1.0,__file__,6,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/005_IN_BAND_update_raw_status.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.9,raw_python_inband_concat,ml_supported_by_evidence,raw_python_inband_concat,False,VULNERABLE,IN_BAND,1.0,__file__,6,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/006_BLIND_login_boolean.py,VULNERABLE,BLIND,VULNERABLE,BLIND,True,1.0,True,1.0,VULNERABLE,BLIND,0.9,raw_python_blind_concat,ml_supported_by_evidence,raw_python_blind_concat,False,VULNERABLE,BLIND,1.0,__file__,6,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/007_BLIND_permission_row_exists.py,VULNERABLE,BLIND,VULNERABLE,BLIND,True,1.0,True,1.0,VULNERABLE,BLIND,0.9,raw_python_blind_concat,ml_supported_by_evidence,raw_python_blind_concat,False,VULNERABLE,BLIND,1.0,__file__,6,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/008_SECOND_ORDER_saved_where_clause.py,VULNERABLE,SECOND_ORDER,VULNERABLE,SECOND_ORDER,True,1.0,True,1.0,VULNERABLE,SECOND_ORDER,0.9,raw_second_order_flow,ml_supported_by_evidence,raw_second_order_flow,False,VULNERABLE,SECOND_ORDER,1.0,__file__,7,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/009_SECOND_ORDER_stored_full_query.py,VULNERABLE,SECOND_ORDER,VULNERABLE,SECOND_ORDER,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.9,raw_second_order_flow,ml_supported_by_evidence,raw_second_order_flow,False,VULNERABLE,SECOND_ORDER,1.0,execute_query,7,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,False,False
python/010_SAFE_db_loaded_value_as_param.py,SAFE,NONE,SAFE,NONE,True,0.25,True,0.8522,VULNERABLE,IN_BAND,0.25,rule_safety_net,rule_safety_net,rule_safety_net,False,SAFE,NONE,0.25,OrderRepository,7,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
