suite,file,language,expected_verdict,expected_attack_type,model1_actual_verdict,model1_actual_attack_type,model1_official_pass,model2_routed,expected_fix_type,model2_model_fix_type,model2_final_fix_type,model2_model_pass,model2_final_pass,strict_fix_pass,strict_fix_reasons,full_system_strict_pass,failure_stage,crashed,error,fixed_code_preview,model1_risk_score,expected_fix_reason,model2_attack_type_input,model2_confidence,model2_probabilities,fixed_code
adversarial_real_world_sqli_challenge_suite,python/001_SAFE_nested_allowlist_decoys.py,python,SAFE,NONE,SAFE,NONE,YES,NO,,,,,,,,YES,,NO,,,,,,,,
adversarial_real_world_sqli_challenge_suite,python/002_IN_BAND_helper_returns_raw_order.py,python,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,YES,YES,B,B,B,YES,YES,YES,,YES,,NO,,"        # Fix: whitelist allowed ORDER BY columns — identifiers cannot be parameterized\n        ALLOWED_COLUMNS = {""id"", ""name"", ""email"", ""created_at""}\n        if sort not in ALLOWED_COLUMNS:\n            raise ValueError(f""Invalid sort column: {sort}"")\n        query = f""SELECT * FROM users ORDER BY {sort}""\n        return cursor.execute(query).fetchall()",1.0,dynamic SQL identifier/table/order-by -> Whitelist Validation,IN_BAND,0.968,"{""A"": 0.0129, ""B"": 0.968, ""C"": 0.0157, ""D"": 0.0033}","        # Fix: whitelist allowed ORDER BY columns — identifiers cannot be parameterized
        ALLOWED_COLUMNS = {""id"", ""name"", ""email"", ""created_at""}
        if sort not in ALLOWED_COLUMNS:
            raise ValueError(f""Invalid sort column: {sort}"")
        query = f""SELECT * FROM users ORDER BY {sort}""
        return cursor.execute(query).fetchall()"
adversarial_real_world_sqli_challenge_suite,python/003_BLIND_nested_exists_helper.py,python,VULNERABLE,BLIND,VULNERABLE,BLIND,YES,YES,A,A,A,YES,YES,YES,,YES,,NO,,"# Fix: use parameterized query — preserve the original SQL logic and bind all user values\ndef norm(v): return """" if v is None else str(v).strip()\ndef clamp(v, lo, hi):\n    try: n = int(v)\n    except Exception: n = lo\n    return max(lo, min(hi, n))\ndef audit(*args): pass\n\nclass Gate:\n    def __init__(self, conn): self.conn = conn\n    def one(self, sql): return self.conn.execute(sql, (args[""actor""], resource)).fetchone()\n    def exists(self, sql): return self.one(sql) is not None\n    d",1.0,default vulnerable value injection -> Parameterized Query,BLIND,0.9982,"{""A"": 0.9982, ""B"": 0.0006, ""C"": 0.0007, ""D"": 0.0006}","# Fix: use parameterized query — preserve the original SQL logic and bind all user values
def norm(v): return """" if v is None else str(v).strip()
def clamp(v, lo, hi):
    try: n = int(v)
    except Exception: n = lo
    return max(lo, min(hi, n))
def audit(*args): pass

class Gate:
    def __init__(self, conn): self.conn = conn
    def one(self, sql): return self.conn.execute(sql, (args[""actor""], resource)).fetchone()
    def exists(self, sql): return self.one(sql) is not None
    def allowed(self, args):
        resource = norm(args.get(""resource""))
        sql = (
            ""SELECT id ""
            ""FROM permissions ""
            ""WHERE actor_id=? ""
            ""AND resource=?""
        )
        return self.exists(sql)
"
adversarial_real_world_sqli_challenge_suite,python/004_SECOND_ORDER_stored_filter_chain.py,python,VULNERABLE,SECOND_ORDER,VULNERABLE,SECOND_ORDER,YES,YES,D,D,D,YES,YES,YES,,YES,,NO,,"# Fix D: Second-order SQLi mitigation\n# Do not execute SQL fragments loaded from DB/config/cache/user storage.\n# Store only data values, then rebuild SQL from trusted static templates.\ntrusted_query = ""SELECT * FROM users WHERE id = ?""\nparams = (trusted_user_id,)\nreturn cursor.execute(trusted_query, params).fetchall()",1.0,SECOND_ORDER/stored-sql context -> Second-Order Mitigation,SECOND_ORDER,0.9884,"{""A"": 0.0106, ""B"": 0.0004, ""C"": 0.0005, ""D"": 0.9884}","# Fix D: Second-order SQLi mitigation
# Do not execute SQL fragments loaded from DB/config/cache/user storage.
# Store only data values, then rebuild SQL from trusted static templates.
trusted_query = ""SELECT * FROM users WHERE id = ?""
params = (trusted_user_id,)
return cursor.execute(trusted_query, params).fetchall()"
adversarial_real_world_sqli_challenge_suite,python/005_SAFE_db_value_as_param_long_gap.py,python,SAFE,NONE,SAFE,NONE,YES,NO,,,,,,,,YES,,NO,,,,,,,,
adversarial_real_world_sqli_challenge_suite,python/006_IN_BAND_execute_alias.py,python,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,YES,YES,A,A,A,YES,YES,YES,,YES,,NO,,"# Fix: use a parameterized query before executing this SQL\nself = ""SELECT id FROM users WHERE email= ?""\ncursor.execute(self, (email,))",0.9997,default vulnerable value injection -> Parameterized Query,IN_BAND,0.9893,"{""A"": 0.9893, ""B"": 0.0029, ""C"": 0.0072, ""D"": 0.0007}","# Fix: use a parameterized query before executing this SQL
self = ""SELECT id FROM users WHERE email= ?""
cursor.execute(self, (email,))"
adversarial_real_world_sqli_challenge_suite,python/007_SAFE_sql_strings_comments_only.py,python,SAFE,NONE,SAFE,NONE,YES,NO,,,,,,,,YES,,NO,,,,,,,,
adversarial_real_world_sqli_challenge_suite,python/008_BLIND_time_based.py,python,VULNERABLE,BLIND,VULNERABLE,BLIND,YES,YES,A,A,A,YES,YES,YES,,YES,,NO,,"# Fix: use parameterized query — preserve the original SQL logic and bind all user values\ndef norm(v): return """" if v is None else str(v).strip()\ndef clamp(v, lo, hi):\n    try: n = int(v)\n    except Exception: n = lo\n    return max(lo, min(hi, n))\ndef audit(*args): pass\n\nclass Probe:\n    def __init__(self, conn): self.conn = conn\n    def run(self, args):\n        token = norm(args.get(""token""))\n        sql = (\n            ""SELECT CASE WHEN token=? THEN pg_sleep(5) ELSE 0 END ""\n     ",1.0,default vulnerable value injection -> Parameterized Query,BLIND,0.9815,"{""A"": 0.9815, ""B"": 0.0018, ""C"": 0.015, ""D"": 0.0017}","# Fix: use parameterized query — preserve the original SQL logic and bind all user values
def norm(v): return """" if v is None else str(v).strip()
def clamp(v, lo, hi):
    try: n = int(v)
    except Exception: n = lo
    return max(lo, min(hi, n))
def audit(*args): pass

class Probe:
    def __init__(self, conn): self.conn = conn
    def run(self, args):
        token = norm(args.get(""token""))
        sql = (
            ""SELECT CASE WHEN token=? THEN pg_sleep(5) ELSE 0 END ""
            ""FROM tokens""
        )
        self.conn.execute(sql, (token,))
        return True
"
adversarial_real_world_sqli_challenge_suite,javascript/009_SAFE_sequelize_replacements_decoy.js,javascript,SAFE,NONE,SAFE,NONE,YES,NO,,,,,,,,YES,,NO,,,,,,,,
adversarial_real_world_sqli_challenge_suite,javascript/010_IN_BAND_replacements_exist_template_used.js,javascript,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,YES,YES,C,C,C,YES,YES,YES,,YES,,NO,,"// Fix C: migrate complex raw SQL construction to a query builder / ORM\nconst allowedFilters = { id: 'id', email: 'email', name: 'name' };\nlet qb = knex('users');\nfor (const [field, value] of Object.entries(filters)) {\n  if (!allowedFilters[field]) throw new Error('Invalid filter field');\n  qb = qb.where(allowedFilters[field], value);\n}\nreturn qb.select('*');",0.9,complex builder/framework raw SQL -> ORM / Query Builder Migration,IN_BAND,0.9615,"{""A"": 0.0343, ""B"": 0.0038, ""C"": 0.9615, ""D"": 0.0004}","// Fix C: migrate complex raw SQL construction to a query builder / ORM
const allowedFilters = { id: 'id', email: 'email', name: 'name' };
let qb = knex('users');
for (const [field, value] of Object.entries(filters)) {
  if (!allowedFilters[field]) throw new Error('Invalid filter field');
  qb = qb.where(allowedFilters[field], value);
}
return qb.select('*');"
