file,expected_verdict,expected_attack_type,final_verdict,final_attack_type,pass,final_risk_score,ml_executed,ml_risk_score,ml_predicted_verdict,ml_predicted_attack_type,rule_score,verdict_source,decision_source,fusion_reason,raw_evidence_override_applied,pre_override_verdict,pre_override_attack_type,pre_override_risk_score,worst_chunk,chunk_count,model_version,model_sequence_length,final_matches_ml_label,final_matches_ml_type,final_matches_ml_label_and_type
python/001_NONE_safe_direct_whitelist_order_by.py,SAFE,NONE,SAFE,NONE,True,0.08,True,0.9946,VULNERABLE,IN_BAND,0.1,raw_safe_allowlisted_identifier,raw_evidence_override,raw_safe_allowlisted_identifier,True,VULNERABLE,IN_BAND,0.9946,__file__,1,model1-cnn-bilstm-dual-head-hardcase-v7,256,False,True,False
python/002_IN_BAND_vuln_raw_order_by.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,0.9989,True,0.9989,VULNERABLE,IN_BAND,0.9,ml+rule,ml_supported_by_evidence,ml+rule,False,VULNERABLE,IN_BAND,0.9989,__file__,1,model1-cnn-bilstm-dual-head-hardcase-v7,256,True,True,True
python/003_IN_BAND_vuln_whitelist_computed_but_unused.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,0.9,True,0.9988,VULNERABLE,IN_BAND,0.9,rule,rule_primary,rule,False,VULNERABLE,IN_BAND,0.9,__file__,1,model1-cnn-bilstm-dual-head-hardcase-v7,256,True,True,True
python/004_NONE_safe_placeholder_list_in.py,SAFE,NONE,SAFE,NONE,True,0.08,True,0.9884,VULNERABLE,IN_BAND,0.08,semantic_safe_guard,semantic_safe_guard,semantic_safe_guard,False,SAFE,NONE,0.08,__file__,1,model1-cnn-bilstm-dual-head-hardcase-v7,256,False,True,False
python/005_IN_BAND_vuln_joined_in_list.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,0.9989,True,0.9989,VULNERABLE,IN_BAND,0.9,raw_python_inband_concat,ml_supported_by_evidence,raw_python_inband_concat,False,VULNERABLE,IN_BAND,0.9989,__file__,1,model1-cnn-bilstm-dual-head-hardcase-v7,256,True,True,True
python/006_NONE_safe_limit_offset_int_bounds.py,SAFE,NONE,SAFE,NONE,True,0.08,True,0.9984,VULNERABLE,IN_BAND,0.08,semantic_safe_guard,semantic_safe_guard,semantic_safe_guard,False,SAFE,NONE,0.08,__file__,1,model1-cnn-bilstm-dual-head-hardcase-v7,256,False,True,False
python/007_IN_BAND_vuln_raw_limit_offset.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,0.9989,True,0.9989,VULNERABLE,IN_BAND,0.9,ml+rule,ml_supported_by_evidence,ml+rule,False,VULNERABLE,IN_BAND,0.9989,__file__,1,model1-cnn-bilstm-dual-head-hardcase-v7,256,True,True,True
python/008_BLIND_vuln_count_gt_zero.py,VULNERABLE,BLIND,VULNERABLE,BLIND,True,0.9998,True,0.9998,VULNERABLE,BLIND,0.9,raw_python_blind_concat,ml_supported_by_evidence,raw_python_blind_concat,False,VULNERABLE,BLIND,0.9998,__file__,1,model1-cnn-bilstm-dual-head-hardcase-v7,256,True,True,True
python/009_BLIND_vuln_fetchone_helper_bool.py,VULNERABLE,BLIND,VULNERABLE,BLIND,True,0.9999,True,0.9999,VULNERABLE,BLIND,0.9,raw_python_blind_concat,ml_supported_by_evidence,raw_python_blind_concat,False,VULNERABLE,BLIND,0.9999,__file__,3,model1-cnn-bilstm-dual-head-hardcase-v7,256,True,True,True
python/010_NONE_safe_parameterized_boolean.py,SAFE,NONE,SAFE,NONE,True,0.25,True,0.9927,VULNERABLE,SECOND_ORDER,0.25,semantic_safe_guard,semantic_safe_guard,semantic_safe_guard,False,SAFE,NONE,0.25,__file__,1,model1-cnn-bilstm-dual-head-hardcase-v7,256,False,True,False
