file,expected_verdict,expected_attack_type,final_verdict,final_attack_type,pass,final_risk_score,ml_executed,ml_risk_score,ml_predicted_verdict,ml_predicted_attack_type,rule_score,verdict_source,decision_source,fusion_reason,raw_evidence_override_applied,pre_override_verdict,pre_override_attack_type,pre_override_risk_score,worst_chunk,chunk_count,model_version,model_sequence_length,final_matches_ml_label,final_matches_ml_type,final_matches_ml_label_and_type
python/001_SAFE_sql_like_string_no_sink.py,SAFE,NONE,SAFE,NONE,True,0.25,True,0.0011,SAFE,NONE,0.9,raw_no_valid_sql_sink,raw_evidence_override,raw_no_valid_sql_sink,True,VULNERABLE,IN_BAND,0.9,__file__,1,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/002_IN_BAND_direct_raw_named_cached.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.9,raw_python_inband_concat,ml_supported_by_evidence,raw_python_inband_concat,False,VULNERABLE,IN_BAND,1.0,__file__,7,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/003_SECOND_ORDER_real_saved_filter.py,VULNERABLE,SECOND_ORDER,VULNERABLE,SECOND_ORDER,True,1.0,True,1.0,VULNERABLE,SECOND_ORDER,0.9,raw_second_order_flow,ml_supported_by_evidence,raw_second_order_flow,False,VULNERABLE,SECOND_ORDER,1.0,__file__,8,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/004_BLIND_time_based_pg_sleep.py,VULNERABLE,BLIND,VULNERABLE,BLIND,True,1.0,True,1.0,VULNERABLE,BLIND,0.25,raw_time_based_blind,ml_primary,raw_time_based_blind,False,VULNERABLE,BLIND,1.0,probe,7,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/005_BLIND_count_helper.py,VULNERABLE,BLIND,VULNERABLE,BLIND,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.9,raw_python_blind_concat,ml_supported_by_evidence,raw_python_blind_concat,False,VULNERABLE,BLIND,1.0,__file__,8,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,False,False
python/006_SAFE_db_loaded_value_param.py,SAFE,NONE,SAFE,NONE,True,0.25,True,0.8522,VULNERABLE,IN_BAND,0.25,rule,rule_primary,rule,False,SAFE,NONE,0.25,audit,8,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
python/007_IN_BAND_direct_raw_ids_join.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,0.9,True,0.8522,VULNERABLE,IN_BAND,0.9,rule,rule_primary,rule,False,VULNERABLE,IN_BAND,0.9,__file__,7,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/008_SAFE_allowlist_decoy_stored_word.py,SAFE,NONE,SAFE,NONE,True,0.08,True,0.9381,VULNERABLE,IN_BAND,0.9,raw_safe_allowlisted_identifier,raw_evidence_override,raw_safe_allowlisted_identifier,True,VULNERABLE,IN_BAND,0.9381,list,7,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
javascript/009_SAFE_sql_like_string_no_sink.js,SAFE,NONE,SAFE,NONE,True,0.25,True,0.9989,VULNERABLE,IN_BAND,0.9,raw_no_valid_sql_sink,raw_evidence_override,raw_no_valid_sql_sink,True,VULNERABLE,IN_BAND,0.9989,__file__,1,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
javascript/010_IN_BAND_direct_template_named_storedSegment.js,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.9,raw_js_direct_raw_sqli,ml_supported_by_evidence,raw_js_direct_raw_sqli,False,VULNERABLE,IN_BAND,1.0,audit,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
javascript/011_SECOND_ORDER_real_saved_segment.js,VULNERABLE,SECOND_ORDER,VULNERABLE,SECOND_ORDER,True,1.0,True,1.0,VULNERABLE,SECOND_ORDER,0.9,ml_confident_with_second_order_evidence,ml_confident_with_second_order_evidence,ml_confident_with_second_order_evidence,True,VULNERABLE,IN_BAND,1.0,__file__,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
javascript/012_BLIND_feature_count_helper.js,VULNERABLE,BLIND,VULNERABLE,BLIND,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.9,raw_js_direct_blind_sqli,ml_supported_by_evidence,raw_js_direct_blind_sqli,False,VULNERABLE,BLIND,1.0,__file__,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,False,False
