file,expected_verdict,expected_attack_type,final_verdict,final_attack_type,pass,final_risk_score,ml_executed,ml_risk_score,ml_predicted_verdict,ml_predicted_attack_type,rule_score,verdict_source,decision_source,fusion_reason,raw_evidence_override_applied,pre_override_verdict,pre_override_attack_type,pre_override_risk_score,worst_chunk,chunk_count,model_version,model_sequence_length,final_matches_ml_label,final_matches_ml_type,final_matches_ml_label_and_type
python/001_NONE_safe_direct_whitelist_order_by.py,SAFE,NONE,SAFE,NONE,True,0.0,True,0.0,SAFE,NONE,0.1,ml,ml_primary,ml,False,SAFE,NONE,0.0,__file__,1,model1-cnn-bilstm-dual-head-ml-primary-v5,256,True,True,True
python/002_IN_BAND_vuln_raw_order_by.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,0.9,True,0.0,SAFE,NONE,0.9,rule,rule_primary,rule,False,VULNERABLE,IN_BAND,0.9,__file__,1,model1-cnn-bilstm-dual-head-ml-primary-v5,256,False,False,False
python/003_IN_BAND_vuln_whitelist_computed_but_unused.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,0.9,True,0.0,SAFE,NONE,0.9,rule,rule_primary,rule,False,VULNERABLE,IN_BAND,0.9,__file__,1,model1-cnn-bilstm-dual-head-ml-primary-v5,256,False,False,False
python/004_NONE_safe_placeholder_list_in.py,SAFE,NONE,SAFE,NONE,True,0.0,True,0.0,SAFE,NONE,0.08,ml,ml_primary,ml,False,SAFE,NONE,0.0,__file__,1,model1-cnn-bilstm-dual-head-ml-primary-v5,256,True,True,True
python/005_IN_BAND_vuln_joined_in_list.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,0.9,False,,,,0.9,raw_python_inband_concat,raw_evidence_fast_path,raw_python_inband_concat,True,,,,__raw_fast__,0,model1-cnn-bilstm-dual-head-ml-primary-v5,256,False,False,False
python/006_NONE_safe_limit_offset_int_bounds.py,SAFE,NONE,SAFE,NONE,True,0.0,True,0.0,SAFE,NONE,0.08,ml,ml_primary,ml,False,SAFE,NONE,0.0,__file__,1,model1-cnn-bilstm-dual-head-ml-primary-v5,256,True,True,True
python/007_IN_BAND_vuln_raw_limit_offset.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,0.9,True,0.0,SAFE,NONE,0.9,rule,rule_primary,rule,False,VULNERABLE,IN_BAND,0.9,__file__,1,model1-cnn-bilstm-dual-head-ml-primary-v5,256,False,False,False
python/008_BLIND_vuln_count_gt_zero.py,VULNERABLE,BLIND,VULNERABLE,BLIND,True,0.9,False,,,,0.9,raw_python_blind_concat,raw_evidence_fast_path,raw_python_blind_concat,True,,,,__raw_fast__,0,model1-cnn-bilstm-dual-head-ml-primary-v5,256,False,False,False
python/009_BLIND_vuln_fetchone_helper_bool.py,VULNERABLE,BLIND,VULNERABLE,BLIND,True,0.9,False,,,,0.9,raw_python_blind_concat,raw_evidence_fast_path,raw_python_blind_concat,True,,,,__raw_fast__,0,model1-cnn-bilstm-dual-head-ml-primary-v5,256,False,False,False
python/010_NONE_safe_parameterized_boolean.py,SAFE,NONE,SAFE,NONE,True,0.0,True,0.0,SAFE,NONE,0.25,ml,ml_primary,ml,False,SAFE,NONE,0.0,__file__,1,model1-cnn-bilstm-dual-head-ml-primary-v5,256,True,True,True
