file,expected_verdict,expected_attack_type,final_verdict,final_attack_type,pass,final_risk_score,ml_executed,ml_risk_score,ml_predicted_verdict,ml_predicted_attack_type,rule_score,verdict_source,decision_source,fusion_reason,raw_evidence_override_applied,pre_override_verdict,pre_override_attack_type,pre_override_risk_score,worst_chunk,chunk_count,model_version,model_sequence_length,final_matches_ml_label,final_matches_ml_type,final_matches_ml_label_and_type
python/001_SAFE_django_raw_params_order_allowlist.py,SAFE,NONE,SAFE,NONE,True,0.08,True,0.1742,SAFE,NONE,0.9,raw_safe_query_builder,raw_evidence_override,raw_safe_query_builder,True,VULNERABLE,IN_BAND,0.9,__file__,66,model1-cnn-bilstm-dual-head-flow-generalization-v16,256,True,True,True
python/002_IN_BAND_django_raw_email_concat.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.9,raw_python_inband_concat,ml_supported_by_evidence,raw_python_inband_concat,False,VULNERABLE,IN_BAND,1.0,search,46,model1-cnn-bilstm-dual-head-flow-generalization-v16,256,True,True,True
python/003_BLIND_django_permission_exists.py,VULNERABLE,BLIND,VULNERABLE,BLIND,True,1.0,True,1.0,VULNERABLE,BLIND,0.9,raw_python_blind_concat,ml_supported_by_evidence,raw_python_blind_concat,False,VULNERABLE,BLIND,1.0,can_export,46,model1-cnn-bilstm-dual-head-flow-generalization-v16,256,True,True,True
python/004_SECOND_ORDER_django_saved_filter_helper.py,VULNERABLE,SECOND_ORDER,VULNERABLE,SECOND_ORDER,True,1.0,True,1.0,VULNERABLE,SECOND_ORDER,0.9,raw_second_order_flow,ml_supported_by_evidence,raw_second_order_flow,False,VULNERABLE,SECOND_ORDER,1.0,run,77,model1-cnn-bilstm-dual-head-flow-generalization-v16,256,True,True,True
python/005_SAFE_sqlalchemy_text_params.py,SAFE,NONE,SAFE,NONE,True,0.08,True,0.0264,SAFE,NONE,0.25,raw_safe_query_builder,rule_safety_net,raw_safe_query_builder,False,SAFE,NONE,0.25,SqlAlchemySafeRepo,55,model1-cnn-bilstm-dual-head-flow-generalization-v16,256,True,True,True
python/006_IN_BAND_sqlalchemy_text_fstring.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.9,ml_confident_vulnerable_evidence_typed,ml_supported_by_evidence,ml_confident_vulnerable_evidence_typed,False,VULNERABLE,IN_BAND,1.0,search,55,model1-cnn-bilstm-dual-head-flow-generalization-v16,256,True,True,True
python/007_SAFE_obfuscated_params_builder.py,SAFE,NONE,SAFE,NONE,True,0.08,True,0.1742,SAFE,NONE,0.9,raw_safe_query_builder,raw_evidence_override,raw_safe_query_builder,True,VULNERABLE,IN_BAND,0.9,__file__,126,model1-cnn-bilstm-dual-head-flow-generalization-v16,256,True,True,True
python/008_IN_BAND_obfuscated_alias_execute.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,0.9951,True,0.9951,VULNERABLE,IN_BAND,0.25,raw_python_inband_concat,ml_primary,raw_python_inband_concat,False,VULNERABLE,IN_BAND,0.9951,run,126,model1-cnn-bilstm-dual-head-flow-generalization-v16,256,True,True,True
python/009_SAFE_huge_repository_one_thousand_lines.py,SAFE,NONE,SAFE,NONE,True,0.08,True,0.1742,SAFE,NONE,0.9,raw_safe_query_builder,raw_evidence_override,raw_safe_query_builder,True,VULNERABLE,IN_BAND,0.9,__file__,1006,model1-cnn-bilstm-dual-head-flow-generalization-v16,256,True,True,True
python/010_SECOND_ORDER_huge_stored_sql_late_sink.py,VULNERABLE,SECOND_ORDER,VULNERABLE,SECOND_ORDER,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.9,raw_second_order_flow,ml_supported_by_evidence,raw_second_order_flow,False,VULNERABLE,SECOND_ORDER,1.0,execute_at_end,1007,model1-cnn-bilstm-dual-head-flow-generalization-v16,256,True,False,False
python/011_SAFE_broken_looking_comments_hebrew.py,SAFE,NONE,SAFE,NONE,True,0.25,True,0.1742,SAFE,NONE,0.25,rule_safety_net,rule_safety_net,rule_safety_net,False,SAFE,NONE,0.25,HebrewCommentSafe,36,model1-cnn-bilstm-dual-head-flow-generalization-v16,256,True,True,True
python/012_BLIND_helper_returns_bool.py,VULNERABLE,BLIND,VULNERABLE,BLIND,True,1.0,True,1.0,VULNERABLE,BLIND,0.9,raw_python_blind_concat,ml_primary,raw_python_blind_concat,False,VULNERABLE,BLIND,1.0,_exists,87,model1-cnn-bilstm-dual-head-flow-generalization-v16,256,True,True,True
python/013_SAFE_multi_query_same_file.py,SAFE,NONE,SAFE,NONE,True,0.25,True,0.1742,SAFE,NONE,0.25,rule_safety_net,rule_safety_net,rule_safety_net,False,SAFE,NONE,0.25,MultiSafe,78,model1-cnn-bilstm-dual-head-flow-generalization-v16,256,True,True,True
python/014_IN_BAND_multi_query_one_unsafe.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,0.9,True,0.1742,SAFE,NONE,0.9,raw_python_inband_concat,raw_evidence_override,raw_python_inband_concat,True,VULNERABLE,BLIND,0.9,__file__,77,model1-cnn-bilstm-dual-head-flow-generalization-v16,256,False,False,False
python/015_SAFE_empty_logic_file.py,SAFE,NONE,SAFE,NONE,True,0.0018,True,0.0018,SAFE,NONE,0.25,raw_no_valid_sql_sink,rule_primary,raw_no_valid_sql_sink,False,SAFE,NONE,0.0018,__file__,1,model1-cnn-bilstm-dual-head-flow-generalization-v16,256,True,True,True
python/016_SAFE_broken_syntax_no_crash.py,SAFE,NONE,SAFE,NONE,True,0.25,False,,,NONE,0.25,raw_no_valid_sql_sink,rule_safety_net_no_model,raw_no_valid_sql_sink,False,SAFE,NONE,0.25,__file__,1,model1-cnn-bilstm-dual-head-flow-generalization-v16,256,False,True,False
javascript/017_SAFE_express_sequelize_replacements.js,SAFE,NONE,SAFE,NONE,True,0.0107,True,0.0107,SAFE,NONE,0.25,raw_safe_query_builder,rule_primary,raw_safe_query_builder,False,SAFE,NONE,0.0107,helper0,64,model1-cnn-bilstm-dual-head-flow-generalization-v16,256,True,True,True
javascript/018_IN_BAND_sequelize_template_raw.js,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,0.9,True,0.0107,SAFE,NONE,0.9,rule,rule_primary,rule,False,VULNERABLE,IN_BAND,0.9,__file__,44,model1-cnn-bilstm-dual-head-flow-generalization-v16,256,False,False,False
javascript/019_SAFE_knex_where_params.js,SAFE,NONE,SAFE,NONE,True,0.0107,True,0.0107,SAFE,NONE,0.25,raw_no_valid_sql_sink,rule_primary,raw_no_valid_sql_sink,False,SAFE,NONE,0.0107,helper0,64,model1-cnn-bilstm-dual-head-flow-generalization-v16,256,True,True,True
javascript/020_IN_BAND_knex_raw_order.js,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,0.9,True,0.0107,SAFE,NONE,0.9,rule,rule_primary,rule,False,VULNERABLE,IN_BAND,0.9,__file__,44,model1-cnn-bilstm-dual-head-flow-generalization-v16,256,False,False,False
javascript/021_BLIND_express_session_auth.js,VULNERABLE,BLIND,VULNERABLE,BLIND,True,1.0,True,1.0,VULNERABLE,BLIND,0.9,raw_blind_boolean_sink,ml_supported_by_evidence,raw_blind_boolean_sink,False,VULNERABLE,BLIND,1.0,helper69,74,model1-cnn-bilstm-dual-head-flow-generalization-v16,256,True,True,True
javascript/022_SECOND_ORDER_cache_filter_to_sql.js,VULNERABLE,SECOND_ORDER,VULNERABLE,SECOND_ORDER,True,1.0,True,1.0,VULNERABLE,SECOND_ORDER,0.9,ml_confident_with_second_order_evidence,ml_confident_with_second_order_evidence,ml_confident_with_second_order_evidence,True,VULNERABLE,IN_BAND,1.0,helper89,94,model1-cnn-bilstm-dual-head-flow-generalization-v16,256,True,True,True
javascript/023_SAFE_params_variable_and_decoys.js,SAFE,NONE,SAFE,NONE,True,0.0107,True,0.0107,SAFE,NONE,0.25,raw_safe_sqlite_params,rule_primary,raw_safe_sqlite_params,False,SAFE,NONE,0.0107,helper0,124,model1-cnn-bilstm-dual-head-flow-generalization-v16,256,True,True,True
