file,expected_verdict,expected_attack_type,final_verdict,final_attack_type,pass,final_risk_score,ml_executed,ml_risk_score,ml_predicted_verdict,ml_predicted_attack_type,rule_score,verdict_source,decision_source,fusion_reason,raw_evidence_override_applied,pre_override_verdict,pre_override_attack_type,pre_override_risk_score,worst_chunk,chunk_count,model_version,model_sequence_length,final_matches_ml_label,final_matches_ml_type,final_matches_ml_label_and_type
javascript/001_SAFE_object_map_alias_chain_order.js,SAFE,NONE,SAFE,NONE,True,0.08,True,0.0003,SAFE,NONE,0.9,raw_safe_allowlisted_identifier,raw_evidence_override,raw_safe_allowlisted_identifier,True,VULNERABLE,IN_BAND,0.9,__file__,3,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
javascript/002_IN_BAND_object_map_safe_then_raw_alias_used.js,VULNERABLE,IN_BAND,SAFE,NONE,False,0.08,True,0.0005,SAFE,NONE,0.9,raw_safe_allowlisted_identifier,raw_evidence_override,raw_safe_allowlisted_identifier,True,VULNERABLE,IN_BAND,0.9,__file__,3,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
javascript/003_SAFE_helper_allowlist_return_alias.js,SAFE,NONE,SAFE,NONE,True,0.08,True,0.0001,SAFE,NONE,0.9,raw_safe_allowlisted_identifier,raw_evidence_override,raw_safe_allowlisted_identifier,True,VULNERABLE,IN_BAND,0.9,__file__,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
javascript/004_IN_BAND_helper_called_but_request_used.js,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,0.9,True,0.0001,SAFE,NONE,0.9,raw_js_direct_raw_sqli,rule_primary,raw_js_direct_raw_sqli,False,VULNERABLE,IN_BAND,0.9,__file__,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,False,False
javascript/005_SECOND_ORDER_db_loaded_sql_fragment_property_chain.js,VULNERABLE,SECOND_ORDER,VULNERABLE,SECOND_ORDER,True,1.0,True,1.0,VULNERABLE,SECOND_ORDER,0.9,raw_second_order_flow,ml_supported_by_evidence,raw_second_order_flow,False,VULNERABLE,SECOND_ORDER,1.0,__file__,3,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
javascript/006_IN_BAND_request_config_where_clause_raw.js,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,1.0,True,1.0,VULNERABLE,SECOND_ORDER,0.9,raw_js_direct_raw_sqli,ml_supported_by_evidence,raw_js_direct_raw_sqli,False,VULNERABLE,IN_BAND,1.0,__file__,3,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,False,False
javascript/007_SECOND_ORDER_cache_config_order_clause.js,VULNERABLE,SECOND_ORDER,VULNERABLE,SECOND_ORDER,True,0.9999,True,0.9999,VULNERABLE,SECOND_ORDER,0.9,raw_second_order_flow,ml_supported_by_evidence,raw_second_order_flow,False,VULNERABLE,SECOND_ORDER,0.9999,toInt,3,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
javascript/008_SAFE_config_value_as_bound_parameter.js,SAFE,NONE,SAFE,NONE,True,0.08,True,0.3876,SAFE,NONE,0.25,semantic_safe_guard,semantic_safe_guard,semantic_safe_guard,False,SAFE,NONE,0.08,toInt,3,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
javascript/009_BLIND_count_bool_return.js,VULNERABLE,BLIND,VULNERABLE,BLIND,True,1.0,True,1.0,VULNERABLE,BLIND,0.9,raw_js_direct_blind_sqli,ml_supported_by_evidence,raw_js_direct_blind_sqli,False,VULNERABLE,BLIND,1.0,__file__,3,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
javascript/010_IN_BAND_count_returned_as_data.js,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.9,raw_js_direct_raw_sqli,ml_supported_by_evidence,raw_js_direct_raw_sqli,False,VULNERABLE,IN_BAND,1.0,__file__,3,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
php/011_SAFE_property_array_alias_chain_order.php,SAFE,NONE,SAFE,NONE,True,0.08,True,0.9991,VULNERABLE,IN_BAND,0.9,raw_safe_allowlisted_identifier,raw_evidence_override,raw_safe_allowlisted_identifier,True,VULNERABLE,IN_BAND,0.9991,list,5,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
php/012_IN_BAND_property_array_safe_then_raw_alias_used.php,VULNERABLE,IN_BAND,SAFE,NONE,False,0.08,True,0.9991,VULNERABLE,IN_BAND,0.9,raw_safe_allowlisted_identifier,raw_evidence_override,raw_safe_allowlisted_identifier,True,VULNERABLE,IN_BAND,0.9991,list,5,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
php/013_SAFE_match_alias_chain_order.php,SAFE,NONE,SAFE,NONE,True,0.08,True,0.4907,SUSPICIOUS,IN_BAND,0.9,raw_safe_allowlisted_identifier,raw_evidence_override,raw_safe_allowlisted_identifier,True,VULNERABLE,IN_BAND,0.9,__file__,5,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
php/014_IN_BAND_match_exists_but_raw_used.php,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,0.9,True,0.7127,VULNERABLE,IN_BAND,0.9,raw_php_sqli,rule_primary,raw_php_sqli,False,VULNERABLE,IN_BAND,0.9,__file__,5,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
php/015_SAFE_helper_return_alias_chain_order.php,SAFE,NONE,SAFE,NONE,True,0.08,True,0.9662,VULNERABLE,IN_BAND,0.9,raw_safe_allowlisted_identifier,raw_evidence_override,raw_safe_allowlisted_identifier,True,VULNERABLE,IN_BAND,0.9662,list,6,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
php/016_IN_BAND_helper_called_but_request_used.php,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.9,raw_php_sqli,ml_supported_by_evidence,raw_php_sqli,False,VULNERABLE,IN_BAND,1.0,list,6,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
php/017_BLIND_count_alias_boolean_return_with_and.php,VULNERABLE,BLIND,VULNERABLE,BLIND,True,1.0,True,1.0,VULNERABLE,BLIND,0.9,raw_php_blind_sqli,ml_supported_by_evidence,raw_php_blind_sqli,False,VULNERABLE,BLIND,1.0,__file__,5,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
php/018_BLIND_count_alias_boolean_return_with_if.php,VULNERABLE,BLIND,VULNERABLE,BLIND,True,0.9997,True,0.9997,VULNERABLE,BLIND,0.9,raw_php_blind_sqli,ml_supported_by_evidence,raw_php_blind_sqli,False,VULNERABLE,BLIND,0.9997,featureEnabled,5,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
php/019_IN_BAND_count_alias_json_response.php,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,0.9998,True,0.9998,VULNERABLE,IN_BAND,0.9,raw_php_sqli,ml_supported_by_evidence,raw_php_sqli,False,VULNERABLE,IN_BAND,0.9998,countByStatus,5,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
php/020_SAFE_pdo_parameterized_count_bool_guard.php,SAFE,NONE,SAFE,NONE,True,0.08,True,0.4907,SUSPICIOUS,IN_BAND,0.25,raw_php_prepared_params,rule_primary,raw_php_prepared_params,False,SAFE,NONE,0.25,__construct,5,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
