file,expected_verdict,expected_attack_type,final_verdict,final_attack_type,pass,final_risk_score,ml_executed,ml_risk_score,ml_predicted_verdict,ml_predicted_attack_type,rule_score,verdict_source,decision_source,fusion_reason,raw_evidence_override_applied,pre_override_verdict,pre_override_attack_type,pre_override_risk_score,worst_chunk,chunk_count,model_version,model_sequence_length,final_matches_ml_label,final_matches_ml_type,final_matches_ml_label_and_type
python/001_SAFE_exact_helper_whitelist_order_by.py,SAFE,NONE,SAFE,NONE,True,0.0078,True,0.0078,SAFE,NONE,0.25,rule,rule_primary,rule,False,SAFE,NONE,0.0078,pick_sort,3,model1-cnn-bilstm-dual-head-hard-safe-calibrated-v8,256,True,True,True
python/002_SAFE_placeholder_list_builder.py,SAFE,NONE,SAFE,NONE,True,0.0012,True,0.0012,SAFE,NONE,0.08,ml,ml_primary,ml,False,SAFE,NONE,0.0012,__file__,1,model1-cnn-bilstm-dual-head-hard-safe-calibrated-v8,256,True,True,True
python/003_SAFE_numeric_limit_offset_bounds.py,SAFE,NONE,SAFE,NONE,True,0.08,True,0.6236,SUSPICIOUS,IN_BAND,0.08,raw_safe_numeric_limit_offset,semantic_safe_guard,raw_safe_numeric_limit_offset,False,SAFE,NONE,0.08,__file__,1,model1-cnn-bilstm-dual-head-hard-safe-calibrated-v8,256,False,True,False
python/004_SAFE_db_loaded_value_reused_as_param.py,SAFE,NONE,SAFE,NONE,True,0.0047,True,0.0047,SAFE,NONE,0.25,ml,ml_primary,ml,False,SAFE,NONE,0.0047,__file__,1,model1-cnn-bilstm-dual-head-hard-safe-calibrated-v8,256,True,True,True
python/005_SAFE_static_migration_executescript.py,SAFE,NONE,SAFE,NONE,True,0.0008,True,0.0008,SAFE,NONE,0.25,ml,ml_primary,ml,False,SAFE,NONE,0.0008,__file__,1,model1-cnn-bilstm-dual-head-hard-safe-calibrated-v8,256,True,True,True
python/006_IN_BAND_fstring_where_direct.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,0.9632,True,0.9632,VULNERABLE,IN_BAND,0.9,ml+rule,ml_supported_by_evidence,ml+rule,False,VULNERABLE,IN_BAND,0.9632,__file__,1,model1-cnn-bilstm-dual-head-hard-safe-calibrated-v8,256,True,True,True
python/007_IN_BAND_whitelist_computed_but_raw_order_used.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,0.9877,True,0.9877,VULNERABLE,IN_BAND,0.9,raw_python_inband_concat,ml_supported_by_evidence,raw_python_inband_concat,False,VULNERABLE,IN_BAND,0.9877,__file__,1,model1-cnn-bilstm-dual-head-hard-safe-calibrated-v8,256,True,True,True
python/008_IN_BAND_joined_ids_raw_in.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,0.9,True,0.9701,VULNERABLE,IN_BAND,0.9,rule,rule_primary,rule,False,VULNERABLE,IN_BAND,0.9,__file__,1,model1-cnn-bilstm-dual-head-hard-safe-calibrated-v8,256,True,True,True
python/009_IN_BAND_executescript_dynamic.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,0.9523,True,0.9523,VULNERABLE,IN_BAND,0.9,ml+rule,ml_supported_by_evidence,ml+rule,False,VULNERABLE,IN_BAND,0.9523,__file__,1,model1-cnn-bilstm-dual-head-hard-safe-calibrated-v8,256,True,True,True
python/010_IN_BAND_raw_table_name.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,0.9,True,0.0033,SAFE,NONE,0.9,rule,rule_primary,rule,False,VULNERABLE,IN_BAND,0.9,__file__,1,model1-cnn-bilstm-dual-head-hard-safe-calibrated-v8,256,False,False,False
python/011_BLIND_count_gt_zero_raw.py,VULNERABLE,BLIND,VULNERABLE,BLIND,True,1.0,True,1.0,VULNERABLE,BLIND,0.9,raw_python_blind_concat,ml_supported_by_evidence,raw_python_blind_concat,False,VULNERABLE,BLIND,1.0,__file__,1,model1-cnn-bilstm-dual-head-hard-safe-calibrated-v8,256,True,True,True
python/012_BLIND_helper_bool_raw_fetchone.py,VULNERABLE,BLIND,VULNERABLE,BLIND,True,0.988,True,0.988,VULNERABLE,BLIND,0.9,raw_blind_boolean_sink,ml_supported_by_evidence,raw_blind_boolean_sink,False,VULNERABLE,BLIND,0.988,__file__,1,model1-cnn-bilstm-dual-head-hard-safe-calibrated-v8,256,True,True,True
python/013_BLIND_role_check_raw.py,VULNERABLE,BLIND,VULNERABLE,BLIND,True,1.0,True,1.0,VULNERABLE,BLIND,0.9,raw_python_blind_concat,ml_supported_by_evidence,raw_python_blind_concat,False,VULNERABLE,BLIND,1.0,__file__,1,model1-cnn-bilstm-dual-head-hard-safe-calibrated-v8,256,True,True,True
python/014_BLIND_token_raw.py,VULNERABLE,BLIND,VULNERABLE,BLIND,True,0.9814,True,0.9814,VULNERABLE,BLIND,0.9,raw_blind_boolean_sink,ml_supported_by_evidence,raw_blind_boolean_sink,False,VULNERABLE,BLIND,0.9814,__file__,1,model1-cnn-bilstm-dual-head-hard-safe-calibrated-v8,256,True,True,True
python/015_BLIND_active_session_raw.py,VULNERABLE,BLIND,VULNERABLE,BLIND,True,0.9998,True,0.9998,VULNERABLE,BLIND,0.9,raw_python_blind_concat,ml_supported_by_evidence,raw_python_blind_concat,False,VULNERABLE,BLIND,0.9998,__file__,1,model1-cnn-bilstm-dual-head-hard-safe-calibrated-v8,256,True,True,True
python/016_SECOND_ORDER_saved_filter_reused.py,VULNERABLE,SECOND_ORDER,VULNERABLE,SECOND_ORDER,True,0.9998,True,0.9998,VULNERABLE,SECOND_ORDER,0.9,raw_second_order_flow,ml_supported_by_evidence,raw_second_order_flow,False,VULNERABLE,SECOND_ORDER,0.9998,__file__,1,model1-cnn-bilstm-dual-head-hard-safe-calibrated-v8,256,True,True,True
