file,expected_verdict,expected_attack_type,final_verdict,final_attack_type,pass,final_risk_score,ml_executed,ml_risk_score,ml_predicted_verdict,ml_predicted_attack_type,rule_score,verdict_source,decision_source,fusion_reason,raw_evidence_override_applied,pre_override_verdict,pre_override_attack_type,pre_override_risk_score,worst_chunk,chunk_count,model_version,model_sequence_length,final_matches_ml_label,final_matches_ml_type,final_matches_ml_label_and_type
python/001_SAFE_prepared_params.py,SAFE,NONE,SAFE,NONE,True,0.25,True,0.8522,VULNERABLE,IN_BAND,0.25,rule_safety_net,rule_safety_net,rule_safety_net,False,SAFE,NONE,0.25,SafeParameterizedRepository,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
python/002_SAFE_named_params.py,SAFE,NONE,SAFE,NONE,True,0.25,True,0.8522,VULNERABLE,IN_BAND,0.25,rule_safety_net,rule_safety_net,rule_safety_net,False,SAFE,NONE,0.25,SafeParameterizedRepository,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
python/003_SAFE_orm_bind_replacements.py,SAFE,NONE,SAFE,NONE,True,0.25,True,0.8522,VULNERABLE,IN_BAND,0.25,rule_safety_net,rule_safety_net,rule_safety_net,False,SAFE,NONE,0.25,SafeParameterizedRepository,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
python/004_SAFE_allowlist_order_direct.py,SAFE,NONE,SAFE,NONE,True,0.08,True,0.9763,VULNERABLE,IN_BAND,0.9,raw_safe_allowlisted_identifier,raw_evidence_override,raw_safe_allowlisted_identifier,True,VULNERABLE,IN_BAND,0.9763,list,5,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
python/005_SAFE_allowlist_order_alias.py,SAFE,NONE,SAFE,NONE,True,0.08,True,0.9763,VULNERABLE,IN_BAND,0.9,raw_safe_allowlisted_identifier,raw_evidence_override,raw_safe_allowlisted_identifier,True,VULNERABLE,IN_BAND,0.9763,list,5,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
python/006_SAFE_helper_returns_safe_column.py,SAFE,NONE,SAFE,NONE,True,0.08,True,0.9763,VULNERABLE,IN_BAND,0.9,raw_safe_allowlisted_identifier,raw_evidence_override,raw_safe_allowlisted_identifier,True,VULNERABLE,IN_BAND,0.9763,list,5,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
python/007_SAFE_numeric_limit_offset_bounds.py,SAFE,NONE,SAFE,NONE,True,0.25,True,0.8522,VULNERABLE,IN_BAND,0.25,rule_safety_net,rule_safety_net,rule_safety_net,False,SAFE,NONE,0.25,SafePagingRepository,5,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
python/008_SAFE_placeholder_in_list.py,SAFE,NONE,SAFE,NONE,True,0.25,True,0.8522,VULNERABLE,IN_BAND,0.25,rule_safety_net,rule_safety_net,rule_safety_net,False,SAFE,NONE,0.25,SafeInListRepository,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
python/009_SAFE_db_loaded_value_as_param.py,SAFE,NONE,SAFE,NONE,True,0.25,True,0.8522,VULNERABLE,IN_BAND,0.25,rule_safety_net,rule_safety_net,rule_safety_net,False,SAFE,NONE,0.25,SafeDbLoadedValueRepository,5,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
python/010_SAFE_static_sql_no_input.py,SAFE,NONE,SAFE,NONE,True,0.25,True,0.8835,VULNERABLE,IN_BAND,0.25,semantic_safe_guard,semantic_safe_guard,semantic_safe_guard,False,SAFE,NONE,0.25,__file__,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
python/011_SAFE_sql_like_string_no_sink.py,SAFE,NONE,SAFE,NONE,True,0.25,True,0.0,SAFE,NONE,0.9,raw_no_valid_sql_sink,raw_evidence_override,raw_no_valid_sql_sink,True,VULNERABLE,IN_BAND,0.9,__file__,1,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/012_SAFE_multi_query_all_parameterized.py,SAFE,NONE,SAFE,NONE,True,0.25,True,0.8522,VULNERABLE,IN_BAND,0.25,rule_safety_net,rule_safety_net,rule_safety_net,False,SAFE,NONE,0.25,MultiQuerySafe,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
python/013_IN_BAND_raw_where_concat.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.9,ml_confident_vulnerable_evidence_typed,ml_supported_by_evidence,ml_confident_vulnerable_evidence_typed,False,VULNERABLE,IN_BAND,1.0,__file__,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/014_IN_BAND_template_like_search.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.9,ml_confident_vulnerable_evidence_typed,ml_supported_by_evidence,ml_confident_vulnerable_evidence_typed,False,VULNERABLE,IN_BAND,1.0,__file__,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/015_IN_BAND_raw_order_by.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.9,ml_confident_vulnerable_evidence_typed,ml_supported_by_evidence,ml_confident_vulnerable_evidence_typed,False,VULNERABLE,IN_BAND,1.0,__file__,5,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
