file,expected_verdict,expected_attack_type,final_verdict,final_attack_type,pass,final_risk_score,ml_executed,ml_risk_score,ml_predicted_verdict,ml_predicted_attack_type,rule_score,verdict_source,decision_source,fusion_reason,raw_evidence_override_applied,pre_override_verdict,pre_override_attack_type,pre_override_risk_score,worst_chunk,chunk_count,model_version,model_sequence_length,final_matches_ml_label,final_matches_ml_type,final_matches_ml_label_and_type
python/001_SAFE_flask_inventory_repository.py,SAFE,NONE,SAFE,NONE,True,0.08,True,1.0,VULNERABLE,IN_BAND,0.25,raw_safe_query_builder,rule_safety_net,raw_safe_query_builder,False,SAFE,NONE,0.25,InventoryRepository,8,model1-cnn-bilstm-dual-head-flow-generalization-v17,256,False,True,False
python/002_IN_BAND_flask_customer_search_vulnerable.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,0.9,True,0.6054,SUSPICIOUS,IN_BAND,0.9,raw_python_inband_concat,rule_primary,raw_python_inband_concat,False,VULNERABLE,IN_BAND,0.9,__file__,6,model1-cnn-bilstm-dual-head-flow-generalization-v17,256,False,True,False
python/003_BLIND_flask_permission_check.py,VULNERABLE,BLIND,VULNERABLE,BLIND,True,1.0,True,1.0,VULNERABLE,BLIND,0.9,ml_confident_with_blind_evidence,ml_supported_by_evidence,ml_confident_with_blind_evidence,False,VULNERABLE,BLIND,1.0,__file__,5,model1-cnn-bilstm-dual-head-flow-generalization-v17,256,True,True,True
python/004_SECOND_ORDER_saved_report_runner.py,VULNERABLE,SECOND_ORDER,VULNERABLE,SECOND_ORDER,True,1.0,True,1.0,VULNERABLE,SECOND_ORDER,0.9,raw_second_order_flow,ml_supported_by_evidence,raw_second_order_flow,False,VULNERABLE,SECOND_ORDER,1.0,run_report,6,model1-cnn-bilstm-dual-head-flow-generalization-v17,256,True,True,True
python/005_SAFE_analytics_dashboard_complex.py,SAFE,NONE,SAFE,NONE,True,0.25,True,0.4997,SUSPICIOUS,IN_BAND,0.25,rule_safety_net,rule_safety_net,rule_safety_net,False,SAFE,NONE,0.25,AnalyticsRepository,8,model1-cnn-bilstm-dual-head-flow-generalization-v17,256,False,True,False
javascript/006_SAFE_express_orders_repository.js,SAFE,NONE,VULNERABLE,BLIND,False,0.9,True,0.0001,SAFE,NONE,0.1,raw_js_direct_blind_sqli,raw_evidence_override,raw_js_direct_blind_sqli,True,SAFE,NONE,0.0001,normalizeSort,4,model1-cnn-bilstm-dual-head-flow-generalization-v17,256,False,False,False
javascript/007_IN_BAND_express_template_where_vuln.js,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,1.0,True,1.0,VULNERABLE,SECOND_ORDER,0.9,raw_js_direct_raw_sqli,ml_supported_by_evidence,raw_js_direct_raw_sqli,False,VULNERABLE,IN_BAND,1.0,__file__,3,model1-cnn-bilstm-dual-head-flow-generalization-v17,256,True,False,False
javascript/008_BLIND_feature_flag_check_vuln.js,VULNERABLE,BLIND,VULNERABLE,BLIND,True,1.0,True,1.0,VULNERABLE,BLIND,0.9,raw_blind_boolean_sink,ml_supported_by_evidence,raw_blind_boolean_sink,False,VULNERABLE,BLIND,1.0,isFeatureEnabled,3,model1-cnn-bilstm-dual-head-flow-generalization-v17,256,True,True,True
javascript/009_SECOND_ORDER_saved_segment_runner.js,VULNERABLE,SECOND_ORDER,VULNERABLE,SECOND_ORDER,True,1.0,True,1.0,VULNERABLE,SECOND_ORDER,0.9,raw_second_order_flow,ml_supported_by_evidence,raw_second_order_flow,False,VULNERABLE,SECOND_ORDER,1.0,__file__,3,model1-cnn-bilstm-dual-head-flow-generalization-v17,256,True,True,True
javascript/010_SAFE_reports_query_builder.js,SAFE,NONE,SAFE,NONE,True,0.0086,True,0.0086,SAFE,NONE,0.25,raw_safe_query_builder,rule_primary,raw_safe_query_builder,False,SAFE,NONE,0.0086,sortFor,4,model1-cnn-bilstm-dual-head-flow-generalization-v17,256,True,True,True
java/011_SAFE_SpringOrderRepository.java,SAFE,NONE,SAFE,NONE,True,0.08,True,0.2149,SAFE,NONE,0.25,raw_safe_query_builder,semantic_safe_guard,raw_safe_query_builder,False,SAFE,NONE,0.1,__file__,5,model1-cnn-bilstm-dual-head-flow-generalization-v17,256,True,True,True
java/012_IN_BAND_legacyStatementSearch.java,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,1.0,True,1.0,VULNERABLE,BLIND,0.9,ml_confident_vulnerable_evidence_typed,ml_supported_by_evidence,ml_confident_vulnerable_evidence_typed,False,VULNERABLE,IN_BAND,1.0,__file__,3,model1-cnn-bilstm-dual-head-flow-generalization-v17,256,True,False,False
java/013_BLIND_LoginServiceStatement.java,VULNERABLE,BLIND,VULNERABLE,BLIND,True,1.0,True,1.0,VULNERABLE,BLIND,0.9,raw_blind_boolean_sink,ml_supported_by_evidence,raw_blind_boolean_sink,False,VULNERABLE,BLIND,1.0,__file__,3,model1-cnn-bilstm-dual-head-flow-generalization-v17,256,True,True,True
java/014_SECOND_ORDER_AuditArchiveService.java,VULNERABLE,SECOND_ORDER,VULNERABLE,SECOND_ORDER,True,1.0,True,1.0,VULNERABLE,SECOND_ORDER,0.9,ml_confident_with_second_order_evidence,ml_confident_with_second_order_evidence,ml_confident_with_second_order_evidence,True,VULNERABLE,IN_BAND,1.0,__file__,3,model1-cnn-bilstm-dual-head-flow-generalization-v17,256,True,True,True
php/015_SAFE_PdoInventoryRepository.php,SAFE,NONE,SAFE,NONE,True,0.0419,True,0.0419,SAFE,NONE,0.25,raw_safe_query_builder,rule_primary,raw_safe_query_builder,False,SAFE,NONE,0.0419,safeSort,4,model1-cnn-bilstm-dual-head-flow-generalization-v17,256,True,True,True
php/016_IN_BAND_mysqli_customer_search.php,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,0.9,True,0.2722,SAFE,NONE,0.9,raw_php_sqli,rule_primary,raw_php_sqli,False,VULNERABLE,IN_BAND,0.9,__file__,3,model1-cnn-bilstm-dual-head-flow-generalization-v17,256,False,False,False
php/017_BLIND_FeatureFlagService.php,VULNERABLE,BLIND,VULNERABLE,BLIND,True,0.9238,True,0.9238,VULNERABLE,BLIND,0.9,raw_php_blind_sqli,ml_supported_by_evidence,raw_php_blind_sqli,False,VULNERABLE,BLIND,0.9238,isEnabled,3,model1-cnn-bilstm-dual-head-flow-generalization-v17,256,True,True,True
php/018_SECOND_ORDER_ProfileAudit.php,VULNERABLE,SECOND_ORDER,VULNERABLE,SECOND_ORDER,True,1.0,True,1.0,VULNERABLE,SECOND_ORDER,0.9,raw_second_order_flow,ml_supported_by_evidence,raw_second_order_flow,False,VULNERABLE,SECOND_ORDER,1.0,__file__,3,model1-cnn-bilstm-dual-head-flow-generalization-v17,256,True,True,True
