file,expected_verdict,expected_attack_type,final_verdict,final_attack_type,pass,final_risk_score,ml_executed,ml_risk_score,ml_predicted_verdict,ml_predicted_attack_type,rule_score,verdict_source,decision_source,fusion_reason,raw_evidence_override_applied,pre_override_verdict,pre_override_attack_type,pre_override_risk_score,worst_chunk,chunk_count,model_version,model_sequence_length,final_matches_ml_label,final_matches_ml_type,final_matches_ml_label_and_type
python/001_SAFE_flask_inventory_repository.py,SAFE,NONE,SAFE,NONE,True,0.08,True,0.995,VULNERABLE,IN_BAND,0.25,raw_safe_query_builder,rule_safety_net,raw_safe_query_builder,False,SAFE,NONE,0.25,InventoryRepository,8,model1-cnn-bilstm-dual-head-hardcase-v7,256,False,True,False
python/002_IN_BAND_flask_customer_search_vulnerable.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,0.9,True,0.9892,VULNERABLE,IN_BAND,0.9,raw_python_inband_concat,rule_primary,raw_python_inband_concat,False,VULNERABLE,IN_BAND,0.9,__file__,6,model1-cnn-bilstm-dual-head-hardcase-v7,256,True,True,True
python/003_BLIND_flask_permission_check.py,VULNERABLE,BLIND,VULNERABLE,BLIND,True,0.9988,True,0.9988,VULNERABLE,SECOND_ORDER,0.9,ml+rule,ml_supported_by_evidence,ml+rule,False,VULNERABLE,BLIND,0.9988,can_view_invoice,5,model1-cnn-bilstm-dual-head-hardcase-v7,256,True,False,False
python/004_SECOND_ORDER_saved_report_runner.py,VULNERABLE,SECOND_ORDER,VULNERABLE,SECOND_ORDER,True,0.9872,True,0.9892,VULNERABLE,IN_BAND,0.9,raw_second_order_flow,ml_supported_by_evidence,raw_second_order_flow,False,VULNERABLE,SECOND_ORDER,0.9872,run_report,6,model1-cnn-bilstm-dual-head-hardcase-v7,256,True,False,False
python/005_SAFE_analytics_dashboard_complex.py,SAFE,NONE,SAFE,NONE,True,0.25,True,0.993,VULNERABLE,IN_BAND,0.25,rule,rule_primary,rule,False,SAFE,NONE,0.25,choose_group_column,8,model1-cnn-bilstm-dual-head-hardcase-v7,256,False,True,False
javascript/006_SAFE_express_orders_repository.js,SAFE,NONE,SAFE,NONE,True,0.08,True,0.9982,VULNERABLE,IN_BAND,0.1,raw_safe_query_builder,semantic_safe_guard,raw_safe_query_builder,False,SAFE,NONE,0.1,normalizeSort,4,model1-cnn-bilstm-dual-head-hardcase-v7,256,False,True,False
javascript/007_IN_BAND_express_template_where_vuln.js,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,0.9998,True,0.9998,VULNERABLE,BLIND,0.9,ml+rule,ml_supported_by_evidence,ml+rule,False,VULNERABLE,IN_BAND,0.9998,__file__,3,model1-cnn-bilstm-dual-head-hardcase-v7,256,True,False,False
javascript/008_BLIND_feature_flag_check_vuln.js,VULNERABLE,BLIND,VULNERABLE,BLIND,True,0.9989,True,0.9989,VULNERABLE,BLIND,0.9,raw_blind_boolean_sink,ml_primary,raw_blind_boolean_sink,False,VULNERABLE,BLIND,0.9989,requireFeature,3,model1-cnn-bilstm-dual-head-hardcase-v7,256,True,True,True
javascript/009_SECOND_ORDER_saved_segment_runner.js,VULNERABLE,SECOND_ORDER,VULNERABLE,SECOND_ORDER,True,0.995,True,0.995,VULNERABLE,IN_BAND,0.9,raw_second_order_flow,ml_supported_by_evidence,raw_second_order_flow,False,VULNERABLE,SECOND_ORDER,0.995,runCampaignSegment,3,model1-cnn-bilstm-dual-head-hardcase-v7,256,True,False,False
javascript/010_SAFE_reports_query_builder.js,SAFE,NONE,SAFE,NONE,True,0.08,True,0.9927,VULNERABLE,IN_BAND,0.25,raw_safe_query_builder,rule_primary,raw_safe_query_builder,False,SAFE,NONE,0.25,tableFor,4,model1-cnn-bilstm-dual-head-hardcase-v7,256,False,True,False
