file,expected_verdict,expected_attack_type,final_verdict,final_attack_type,pass,final_risk_score,ml_executed,ml_risk_score,ml_predicted_verdict,ml_predicted_attack_type,rule_score,verdict_source,decision_source,fusion_reason,raw_evidence_override_applied,pre_override_verdict,pre_override_attack_type,pre_override_risk_score,worst_chunk,chunk_count,model_version,model_sequence_length,final_matches_ml_label,final_matches_ml_type,final_matches_ml_label_and_type
python/001_SAFE_parameterized_execute.py,SAFE,NONE,SAFE,NONE,True,0.25,True,0.0645,SAFE,NONE,0.25,rule_safety_net,rule_safety_net,rule_safety_net,False,SAFE,NONE,0.25,UserRepo,6,model1-cnn-bilstm-dual-head-flow-generalization-v17,256,True,True,True
python/002_SAFE_allowlisted_order_by.py,SAFE,NONE,SAFE,NONE,True,0.08,True,0.0645,SAFE,NONE,0.9,raw_safe_query_builder,raw_evidence_override,raw_safe_query_builder,True,VULNERABLE,IN_BAND,0.9,__file__,6,model1-cnn-bilstm-dual-head-flow-generalization-v17,256,True,True,True
python/003_IN_BAND_raw_email_concat.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.9,raw_python_inband_concat,ml_supported_by_evidence,raw_python_inband_concat,False,VULNERABLE,IN_BAND,1.0,__file__,6,model1-cnn-bilstm-dual-head-flow-generalization-v17,256,True,True,True
python/004_IN_BAND_raw_order_by.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,0.9,True,0.0645,SAFE,NONE,0.9,rule,rule_primary,rule,False,VULNERABLE,IN_BAND,0.9,__file__,6,model1-cnn-bilstm-dual-head-flow-generalization-v17,256,False,False,False
python/005_IN_BAND_joined_ids.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.9,raw_python_inband_concat,ml_supported_by_evidence,raw_python_inband_concat,False,VULNERABLE,IN_BAND,1.0,__file__,6,model1-cnn-bilstm-dual-head-flow-generalization-v17,256,True,True,True
python/006_BLIND_login_raw.py,VULNERABLE,BLIND,VULNERABLE,BLIND,True,1.0,True,1.0,VULNERABLE,BLIND,0.9,raw_python_blind_concat,ml_supported_by_evidence,raw_python_blind_concat,False,VULNERABLE,BLIND,1.0,__file__,6,model1-cnn-bilstm-dual-head-flow-generalization-v17,256,True,True,True
python/007_BLIND_count_gt_zero.py,VULNERABLE,BLIND,VULNERABLE,BLIND,True,1.0,True,1.0,VULNERABLE,BLIND,0.9,raw_python_blind_concat,ml_supported_by_evidence,raw_python_blind_concat,False,VULNERABLE,BLIND,1.0,__file__,6,model1-cnn-bilstm-dual-head-flow-generalization-v17,256,True,True,True
python/008_SECOND_ORDER_saved_filter.py,VULNERABLE,SECOND_ORDER,VULNERABLE,SECOND_ORDER,True,1.0,True,1.0,VULNERABLE,SECOND_ORDER,0.9,raw_second_order_flow,ml_supported_by_evidence,raw_second_order_flow,False,VULNERABLE,SECOND_ORDER,1.0,__file__,7,model1-cnn-bilstm-dual-head-flow-generalization-v17,256,True,True,True
python/009_SAFE_db_loaded_value_as_param.py,SAFE,NONE,SAFE,NONE,True,0.25,True,0.0645,SAFE,NONE,0.25,rule_safety_net,rule_safety_net,rule_safety_net,False,SAFE,NONE,0.25,SafeDbValue,7,model1-cnn-bilstm-dual-head-flow-generalization-v17,256,True,True,True
python/010_SAFE_static_executescript.py,SAFE,NONE,SAFE,NONE,True,0.25,True,0.0645,SAFE,NONE,0.25,rule_safety_net,rule_safety_net,rule_safety_net,False,SAFE,NONE,0.25,Migration,6,model1-cnn-bilstm-dual-head-flow-generalization-v17,256,True,True,True
