file,expected_verdict,expected_attack_type,final_verdict,final_attack_type,pass,final_risk_score,ml_executed,ml_risk_score,ml_predicted_verdict,ml_predicted_attack_type,rule_score,verdict_source,decision_source,fusion_reason,raw_evidence_override_applied,pre_override_verdict,pre_override_attack_type,pre_override_risk_score,worst_chunk,chunk_count,model_version,model_sequence_length,final_matches_ml_label,final_matches_ml_type,final_matches_ml_label_and_type
python/001_NONE_safe_direct_whitelist_order_by.py,SAFE,NONE,SAFE,NONE,True,0.0,True,0.0,SAFE,NONE,0.1,raw_safe_allowlisted_identifier,ml_primary,raw_safe_allowlisted_identifier,False,SAFE,NONE,0.0,__file__,1,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/002_IN_BAND_vuln_whitelist_computed_but_raw_used.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,0.9976,True,0.9976,VULNERABLE,IN_BAND,0.9,ml_confident_vulnerable_evidence_typed,rule_primary,ml_confident_vulnerable_evidence_typed,False,VULNERABLE,IN_BAND,0.9,__file__,1,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/003_NONE_safe_helper_pick_allowed_order_by.py,SAFE,NONE,SAFE,NONE,True,0.0001,True,0.0001,SAFE,NONE,0.25,raw_safe_allowlisted_identifier,ml_primary,raw_safe_allowlisted_identifier,False,SAFE,NONE,0.0001,list_users,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/004_IN_BAND_vuln_helper_whitelist_but_raw_used.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.9,ml_confident_vulnerable_evidence_typed,rule_primary,ml_confident_vulnerable_evidence_typed,False,VULNERABLE,IN_BAND,0.9,__file__,3,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/005_NONE_safe_dict_map_table.py,SAFE,NONE,SAFE,NONE,True,0.0,True,0.0,SAFE,NONE,0.1,raw_safe_allowlisted_identifier,ml_primary,raw_safe_allowlisted_identifier,False,SAFE,NONE,0.0,__file__,1,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/006_IN_BAND_vuln_dict_map_computed_but_raw_used.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,0.9999,True,0.9999,VULNERABLE,IN_BAND,0.9,ml_confident_vulnerable_evidence_typed,rule_primary,ml_confident_vulnerable_evidence_typed,False,VULNERABLE,IN_BAND,0.9,__file__,1,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/007_NONE_safe_placeholder_list_execute_params.py,SAFE,NONE,SAFE,NONE,True,0.0,True,0.0,SAFE,NONE,0.08,ml,ml_primary,ml,False,SAFE,NONE,0.0,__file__,1,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/008_IN_BAND_vuln_joined_raw_ids.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.9,raw_python_inband_concat,ml_supported_by_evidence,raw_python_inband_concat,False,VULNERABLE,IN_BAND,1.0,__file__,1,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
javascript/009_NONE_safe_placeholder_list_js.js,SAFE,NONE,SAFE,NONE,True,0.0,True,0.0,SAFE,NONE,0.08,ml,ml_primary,ml,False,SAFE,NONE,0.0,__file__,1,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
javascript/010_IN_BAND_vuln_joined_ids_js.js,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.9,ml_confident_vulnerable_evidence_typed,ml_supported_by_evidence,ml_confident_vulnerable_evidence_typed,False,VULNERABLE,IN_BAND,1.0,__file__,1,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/011_NONE_safe_limit_offset_int_minmax.py,SAFE,NONE,SAFE,NONE,True,0.0001,True,0.0001,SAFE,NONE,0.08,ml,ml_primary,ml,False,SAFE,NONE,0.0001,__file__,1,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/012_IN_BAND_vuln_raw_limit_offset.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.9,ml_confident_vulnerable_evidence_typed,ml_supported_by_evidence,ml_confident_vulnerable_evidence_typed,False,VULNERABLE,IN_BAND,1.0,__file__,1,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
javascript/013_NONE_safe_limit_offset_number_js.js,SAFE,NONE,SAFE,NONE,True,0.0015,True,0.0015,SAFE,NONE,0.08,raw_safe_numeric_limit_offset,ml_primary,raw_safe_numeric_limit_offset,False,SAFE,NONE,0.0015,__file__,1,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
javascript/014_IN_BAND_vuln_raw_limit_offset_js.js,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.9,ml_confident_vulnerable_evidence_typed,ml_supported_by_evidence,ml_confident_vulnerable_evidence_typed,False,VULNERABLE,IN_BAND,1.0,__file__,1,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
javascript/015_BLIND_vuln_count_bool_js.js,VULNERABLE,BLIND,VULNERABLE,BLIND,True,1.0,True,1.0,VULNERABLE,BLIND,0.9,ml_confident_with_blind_evidence,ml_supported_by_evidence,ml_confident_with_blind_evidence,False,VULNERABLE,BLIND,1.0,__file__,1,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
javascript/016_NONE_safe_count_bool_js.js,SAFE,NONE,SAFE,NONE,True,0.08,True,0.9998,VULNERABLE,BLIND,0.25,raw_safe_db_loaded_bound_param,semantic_safe_guard,raw_safe_db_loaded_bound_param,False,SAFE,NONE,0.25,__file__,1,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
java/017_BLIND_vuln_resultset_next.java,VULNERABLE,BLIND,VULNERABLE,BLIND,True,1.0,True,1.0,VULNERABLE,BLIND,0.9,raw_blind_boolean_sink,ml_supported_by_evidence,raw_blind_boolean_sink,False,VULNERABLE,BLIND,1.0,__file__,3,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
java/018_NONE_safe_resultset_next_prepared.java,SAFE,NONE,SAFE,NONE,True,0.08,True,1.0,VULNERABLE,BLIND,0.25,raw_safe_db_loaded_bound_param,semantic_safe_guard,raw_safe_db_loaded_bound_param,False,SAFE,NONE,0.25,__file__,3,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
php/019_BLIND_vuln_count_bool_php.php,VULNERABLE,BLIND,VULNERABLE,BLIND,True,1.0,True,1.0,VULNERABLE,BLIND,0.9,raw_php_blind_sqli,ml_supported_by_evidence,raw_php_blind_sqli,False,VULNERABLE,BLIND,1.0,__file__,1,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
php/020_NONE_safe_count_bool_php.php,SAFE,NONE,SAFE,NONE,True,0.08,True,1.0,VULNERABLE,BLIND,0.25,raw_php_prepared_params,semantic_safe_guard,raw_php_prepared_params,False,SAFE,NONE,0.25,__file__,1,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
javascript/021_SECOND_ORDER_vuln_cached_fragment_js.js,VULNERABLE,SECOND_ORDER,VULNERABLE,SECOND_ORDER,True,1.0,True,1.0,VULNERABLE,SECOND_ORDER,0.9,ml_confident_with_second_order_evidence,ml_confident_with_second_order_evidence,ml_confident_with_second_order_evidence,True,VULNERABLE,IN_BAND,1.0,__file__,1,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
javascript/022_NONE_safe_db_value_param_js.js,SAFE,NONE,SAFE,NONE,True,0.0463,True,0.0463,SAFE,NONE,0.25,ml,ml_primary,ml,False,SAFE,NONE,0.0463,__file__,1,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
java/023_SECOND_ORDER_vuln_resultset_getstring.java,VULNERABLE,SECOND_ORDER,VULNERABLE,SECOND_ORDER,True,1.0,True,1.0,VULNERABLE,SECOND_ORDER,0.9,ml_confident_with_second_order_evidence,ml_confident_with_second_order_evidence,ml_confident_with_second_order_evidence,True,VULNERABLE,IN_BAND,1.0,__file__,3,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
java/024_NONE_safe_resultset_param_reuse.java,SAFE,NONE,SAFE,NONE,True,0.08,True,0.9504,VULNERABLE,IN_BAND,0.25,raw_safe_db_loaded_bound_param,semantic_safe_guard,raw_safe_db_loaded_bound_param,False,SAFE,NONE,0.25,__file__,3,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
php/025_SECOND_ORDER_vuln_fetch_assoc_reuse.php,VULNERABLE,SECOND_ORDER,VULNERABLE,SECOND_ORDER,True,1.0,True,1.0,VULNERABLE,SECOND_ORDER,0.9,raw_second_order_flow,ml_supported_by_evidence,raw_second_order_flow,False,VULNERABLE,SECOND_ORDER,1.0,__file__,1,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
php/026_NONE_safe_fetch_assoc_param_reuse.php,SAFE,NONE,SAFE,NONE,True,0.25,True,0.2062,SAFE,NONE,0.25,semantic_safe_guard,semantic_safe_guard,semantic_safe_guard,False,SAFE,NONE,0.25,__file__,1,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
javascript/027_NONE_safe_set_has_order_by_js.js,SAFE,NONE,SAFE,NONE,True,0.0,True,0.0,SAFE,NONE,0.1,raw_safe_allowlisted_identifier,ml_primary,raw_safe_allowlisted_identifier,False,SAFE,NONE,0.0,__file__,1,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
javascript/028_IN_BAND_vuln_set_has_but_raw_used_js.js,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.9,ml_confident_vulnerable_evidence_typed,rule_primary,ml_confident_vulnerable_evidence_typed,False,VULNERABLE,IN_BAND,0.9,__file__,1,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
java/029_NONE_safe_set_contains_order_by.java,SAFE,NONE,SAFE,NONE,True,0.08,True,0.9504,VULNERABLE,IN_BAND,0.25,raw_safe_allowlisted_identifier,rule_primary,raw_safe_allowlisted_identifier,False,SAFE,NONE,0.25,InvoiceDaoSafe,3,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
java/030_IN_BAND_vuln_set_contains_but_raw_used.java,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.9,ml_confident_vulnerable_evidence_typed,ml_supported_by_evidence,ml_confident_vulnerable_evidence_typed,False,VULNERABLE,IN_BAND,1.0,__file__,3,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
php/031_NONE_safe_array_map_order_by.php,SAFE,NONE,SAFE,NONE,True,0.0101,True,0.0101,SAFE,NONE,0.1,ml,ml_primary,ml,False,SAFE,NONE,0.0101,__file__,1,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
