suiteSource,id,language,attackType,expectedModelFixType,modelFixType,modelPass,expectedFinalFixType,finalFixType,finalPass,contentPass,passed,confidence,allProbabilities,missingMustContain,presentMustNotContain,error,fixedCode
diagnostic.json,python_A_where_value_concat_parameterized,python,IN_BAND,A,A,True,A,A,True,True,True,0.8548,"{""A"": 0.8548, ""B"": 0.0437, ""C"": 0.0785, ""D"": 0.023}",,,,"# Fix: use parameterized query — never interpolate user input into SQL
query = ""SELECT * FROM users WHERE id = ?""
cursor.execute(query, (uid,))"
diagnostic.json,python_A_where_value_fstring_parameterized,python,IN_BAND,A,A,True,A,A,True,True,True,0.7532,"{""A"": 0.7532, ""B"": 0.0553, ""C"": 0.1516, ""D"": 0.04}",,,,"# Fix: use parameterized query — never interpolate user input into SQL
query = ""SELECT * FROM users WHERE name = ?""
cursor.execute(query, (name,))"
diagnostic.json,python_A_blind_count_value_parameterized,python,BLIND,A,A,True,A,A,True,True,True,0.8725,"{""A"": 0.8725, ""B"": 0.0273, ""C"": 0.0639, ""D"": 0.0363}",,,,"# Fix: use parameterized query — never interpolate user input into SQL
query = ""SELECT count(*) FROM users WHERE id = ?""
cursor.execute(query, (uid,))"
diagnostic.json,javascript_A_where_value_concat_parameterized,javascript,IN_BAND,A,A,True,A,A,True,True,True,0.8345,"{""A"": 0.8345, ""B"": 0.049, ""C"": 0.0818, ""D"": 0.0348}",,,,"// Fix: use parameterized query
const query = ""SELECT * FROM users WHERE id = ?"";
return db.all(query, [id]);"
diagnostic.json,javascript_A_where_value_template_parameterized,javascript,IN_BAND,A,A,True,A,A,True,True,True,0.837,"{""A"": 0.837, ""B"": 0.0507, ""C"": 0.084, ""D"": 0.0284}",,,,"// Fix: use parameterized query
const query = ""SELECT * FROM users WHERE email = ?"";
return db.all(query, [email]);"
diagnostic.json,php_A_where_value_concat_prepared_statement,php,IN_BAND,A,A,True,A,A,True,True,True,0.818,"{""A"": 0.818, ""B"": 0.0701, ""C"": 0.0827, ""D"": 0.0291}",,,,"// Fix: use PDO prepared statements
$stmt = $pdo->prepare(""SELECT * FROM users WHERE id = ?"");
$stmt->execute([$id]);"
diagnostic.json,java_A_where_value_concat_prepared_statement,java,IN_BAND,A,A,True,A,A,True,True,True,0.8866,"{""A"": 0.8866, ""B"": 0.049, ""C"": 0.0485, ""D"": 0.0158}",,,,"// Fix: use PreparedStatement
PreparedStatement stmt = conn.prepareStatement(""SELECT * FROM users WHERE id = ?"");
stmt.setString(1, id);
ResultSet rs = stmt.executeQuery();"
diagnostic.json,python_B_order_by_identifier_whitelist,python,IN_BAND,B,B,True,B,B,True,True,True,0.8485,"{""A"": 0.0676, ""B"": 0.8485, ""C"": 0.0648, ""D"": 0.0191}",,,,"    # Fix: whitelist allowed ORDER BY columns — identifiers cannot be parameterized
    ALLOWED_COLUMNS = {""id"", ""name"", ""email"", ""created_at""}
    if sort_column not in ALLOWED_COLUMNS:
        raise ValueError(f""Invalid sort column: {sort_column}"")
    query = f""SELECT * FROM users ORDER BY {sort_column}""
    return cursor.execute(query).fetchall()"
diagnostic.json,python_B_table_identifier_whitelist,python,IN_BAND,B,B,True,B,B,True,True,True,0.7772,"{""A"": 0.1071, ""B"": 0.7772, ""C"": 0.0897, ""D"": 0.026}",,,,"# Fix: whitelist allowed table names — identifiers cannot be parameterized
ALLOWED_TABLES = {""users"", ""orders"", ""products""}
if table not in ALLOWED_TABLES:
    raise ValueError(f""Invalid table name: {table}"")
query = f""SELECT * FROM {table}""
return cursor.execute(query).fetchall()"
diagnostic.json,javascript_B_order_by_identifier_whitelist,javascript,IN_BAND,B,B,True,B,B,True,True,True,0.7937,"{""A"": 0.0993, ""B"": 0.7937, ""C"": 0.0751, ""D"": 0.0318}",,,,"// Fix: whitelist allowed ORDER BY columns — identifiers cannot be parameterized
const ALLOWED_COLUMNS = new Set(['id','name','email','created_at']);
if (!ALLOWED_COLUMNS.has(sortColumn)) throw new Error('Invalid sort column');
const query = `SELECT * FROM users ORDER BY ${sortColumn}`;
return db.all(query);"
diagnostic.json,javascript_B_table_identifier_whitelist,javascript,IN_BAND,B,B,True,B,B,True,True,True,0.7607,"{""A"": 0.1258, ""B"": 0.7607, ""C"": 0.0853, ""D"": 0.0283}",,,,"// Fix: whitelist allowed table names — identifiers cannot be parameterized
const ALLOWED_TABLES = new Set(['users','orders','products']);
if (!ALLOWED_TABLES.has(tableName)) throw new Error('Invalid table name');
const query = `SELECT * FROM ${tableName}`;
return db.all(query);"
diagnostic.json,php_B_order_by_identifier_whitelist,php,IN_BAND,B,B,True,B,B,True,True,True,0.7734,"{""A"": 0.1061, ""B"": 0.7734, ""C"": 0.0899, ""D"": 0.0305}",,,,"// Fix: whitelist allowed ORDER BY columns — identifiers cannot be parameterized
$allowedColumns = ['id','name','email','created_at'];
if (!in_array($sort, $allowedColumns, true)) { throw new InvalidArgumentException('Invalid sort column'); }
$sql = ""SELECT * FROM users ORDER BY "" . $sort;
$stmt = $pdo->query($sql);"
