file,expected_verdict,expected_attack_type,final_verdict,final_attack_type,pass,final_risk_score,ml_executed,ml_risk_score,ml_predicted_verdict,ml_predicted_attack_type,rule_score,verdict_source,decision_source,fusion_reason,raw_evidence_override_applied,pre_override_verdict,pre_override_attack_type,pre_override_risk_score,worst_chunk,chunk_count,model_version,model_sequence_length,final_matches_ml_label,final_matches_ml_type,final_matches_ml_label_and_type
python/001_NONE_safe_direct_whitelist_order_by.py,SAFE,NONE,SAFE,NONE,True,0.08,True,0.1551,SAFE,NONE,0.1,raw_safe_allowlisted_identifier,ml_supported_by_evidence,raw_safe_allowlisted_identifier,False,SAFE,NONE,0.1551,__file__,1,model1-cnn-bilstm-dual-head-hard-safe-calibrated-v8,256,True,True,True
python/002_IN_BAND_vuln_raw_order_by.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,0.972,True,0.972,VULNERABLE,IN_BAND,0.9,ml+rule,ml_supported_by_evidence,ml+rule,False,VULNERABLE,IN_BAND,0.972,__file__,1,model1-cnn-bilstm-dual-head-hard-safe-calibrated-v8,256,True,True,True
python/003_IN_BAND_vuln_whitelist_computed_but_unused.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,0.9,True,0.5947,SUSPICIOUS,IN_BAND,0.9,rule,rule_primary,rule,False,VULNERABLE,IN_BAND,0.9,__file__,1,model1-cnn-bilstm-dual-head-hard-safe-calibrated-v8,256,False,True,False
python/004_NONE_safe_placeholder_list_in.py,SAFE,NONE,SAFE,NONE,True,0.0013,True,0.0013,SAFE,NONE,0.08,ml,ml_primary,ml,False,SAFE,NONE,0.0013,__file__,1,model1-cnn-bilstm-dual-head-hard-safe-calibrated-v8,256,True,True,True
python/005_IN_BAND_vuln_joined_in_list.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,0.9993,True,0.9993,VULNERABLE,IN_BAND,0.9,raw_python_inband_concat,ml_supported_by_evidence,raw_python_inband_concat,False,VULNERABLE,IN_BAND,0.9993,__file__,1,model1-cnn-bilstm-dual-head-hard-safe-calibrated-v8,256,True,True,True
python/006_NONE_safe_limit_offset_int_bounds.py,SAFE,NONE,SAFE,NONE,True,0.08,True,0.8066,VULNERABLE,IN_BAND,0.08,semantic_safe_guard,semantic_safe_guard,semantic_safe_guard,False,SAFE,NONE,0.08,__file__,1,model1-cnn-bilstm-dual-head-hard-safe-calibrated-v8,256,False,True,False
python/007_IN_BAND_vuln_raw_limit_offset.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,0.972,True,0.972,VULNERABLE,IN_BAND,0.9,ml+rule,ml_supported_by_evidence,ml+rule,False,VULNERABLE,IN_BAND,0.972,__file__,1,model1-cnn-bilstm-dual-head-hard-safe-calibrated-v8,256,True,True,True
python/008_BLIND_vuln_count_gt_zero.py,VULNERABLE,BLIND,VULNERABLE,BLIND,True,1.0,True,1.0,VULNERABLE,BLIND,0.9,raw_python_blind_concat,ml_supported_by_evidence,raw_python_blind_concat,False,VULNERABLE,BLIND,1.0,__file__,1,model1-cnn-bilstm-dual-head-hard-safe-calibrated-v8,256,True,True,True
python/009_BLIND_vuln_fetchone_helper_bool.py,VULNERABLE,BLIND,VULNERABLE,BLIND,True,1.0,True,1.0,VULNERABLE,BLIND,0.9,raw_python_blind_concat,ml_supported_by_evidence,raw_python_blind_concat,False,VULNERABLE,BLIND,1.0,__file__,3,model1-cnn-bilstm-dual-head-hard-safe-calibrated-v8,256,True,True,True
python/010_NONE_safe_parameterized_boolean.py,SAFE,NONE,SAFE,NONE,True,0.25,True,0.8506,VULNERABLE,BLIND,0.25,semantic_safe_guard,semantic_safe_guard,semantic_safe_guard,False,SAFE,NONE,0.25,__file__,1,model1-cnn-bilstm-dual-head-hard-safe-calibrated-v8,256,False,True,False
python/011_SECOND_ORDER_vuln_db_value_reuse.py,VULNERABLE,SECOND_ORDER,VULNERABLE,SECOND_ORDER,True,0.9997,True,0.9997,VULNERABLE,SECOND_ORDER,0.9,ml+rule,ml_supported_by_evidence,ml+rule,False,VULNERABLE,SECOND_ORDER,0.9997,__file__,1,model1-cnn-bilstm-dual-head-hard-safe-calibrated-v8,256,True,True,True
python/012_SECOND_ORDER_vuln_cached_fragment.py,VULNERABLE,SECOND_ORDER,VULNERABLE,SECOND_ORDER,True,0.9998,True,0.9998,VULNERABLE,SECOND_ORDER,0.9,raw_second_order_flow,ml_supported_by_evidence,raw_second_order_flow,False,VULNERABLE,SECOND_ORDER,0.9998,__file__,1,model1-cnn-bilstm-dual-head-hard-safe-calibrated-v8,256,True,True,True
