file,expected_label,expected_attack_type,ml_label,ml_attack_type,ml_risk,ml_attack_type_confidence,ml_attack_type_probs,chunk_index,chunk_name,binary_pass,full_pass
stable_expected_detection_suite/java/021_SAFE_prepared_select.java,SAFE,NONE,VULNERABLE,BLIND,0.9741,0.5265,"{""BLIND"": 0.5265, ""IN_BAND"": 0.4724, ""NONE"": 0.0001, ""SECOND_ORDER"": 0.0011}",1,AccountRepository,False,False
stable_expected_detection_suite/java/022_SAFE_prepared_update.java,SAFE,NONE,VULNERABLE,BLIND,0.9741,0.5265,"{""BLIND"": 0.5265, ""IN_BAND"": 0.4724, ""NONE"": 0.0001, ""SECOND_ORDER"": 0.0011}",1,TicketRepository,False,False
stable_expected_detection_suite/java/023_IN_BAND_statement_where_concat.java,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,1.0,0.9573,"{""BLIND"": 0.0, ""IN_BAND"": 0.9573, ""NONE"": 0.0187, ""SECOND_ORDER"": 0.0241}",0,__file__,True,True
stable_expected_detection_suite/java/024_IN_BAND_statement_update_concat.java,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,1.0,0.9964,"{""BLIND"": 0.0, ""IN_BAND"": 0.9964, ""NONE"": 0.0, ""SECOND_ORDER"": 0.0036}",2,update,True,True
stable_expected_detection_suite/java/025_BLIND_login_rs_next.java,VULNERABLE,BLIND,VULNERABLE,BLIND,0.9741,0.5265,"{""BLIND"": 0.5265, ""IN_BAND"": 0.4724, ""NONE"": 0.0001, ""SECOND_ORDER"": 0.0011}",1,LoginService,True,True
stable_expected_detection_suite/java/026_BLIND_count_gt_zero.java,VULNERABLE,BLIND,VULNERABLE,BLIND,1.0,1.0,"{""BLIND"": 1.0, ""IN_BAND"": 0.0, ""NONE"": 0.0, ""SECOND_ORDER"": 0.0}",2,canExport,True,True
stable_expected_detection_suite/java/027_SECOND_ORDER_saved_where_clause.java,VULNERABLE,SECOND_ORDER,VULNERABLE,IN_BAND,1.0,0.9659,"{""BLIND"": 0.0, ""IN_BAND"": 0.9659, ""NONE"": 0.0, ""SECOND_ORDER"": 0.0341}",3,run,True,False
stable_expected_detection_suite/java/028_SECOND_ORDER_stored_query.java,VULNERABLE,SECOND_ORDER,VULNERABLE,IN_BAND,1.0,0.898,"{""BLIND"": 0.0, ""IN_BAND"": 0.898, ""NONE"": 0.0, ""SECOND_ORDER"": 0.102}",3,run,True,False
stable_expected_detection_suite/java/029_SAFE_db_loaded_value_as_param.java,SAFE,NONE,VULNERABLE,BLIND,0.9741,0.5265,"{""BLIND"": 0.5265, ""IN_BAND"": 0.4724, ""NONE"": 0.0001, ""SECOND_ORDER"": 0.0011}",1,SafeOrderRepository,False,False
stable_expected_detection_suite/java/030_SAFE_plain_no_sql.java,SAFE,NONE,VULNERABLE,BLIND,0.9294,0.6401,"{""BLIND"": 0.6401, ""IN_BAND"": 0.3589, ""NONE"": 0.0002, ""SECOND_ORDER"": 0.0008}",0,__file__,False,False
stable_expected_detection_suite/javascript/011_SAFE_parameterized_get.js,SAFE,NONE,VULNERABLE,BLIND,0.9495,0.6026,"{""BLIND"": 0.6026, ""IN_BAND"": 0.3964, ""NONE"": 0.0001, ""SECOND_ORDER"": 0.0009}",1,norm,False,False
stable_expected_detection_suite/javascript/012_SAFE_parameterized_insert.js,SAFE,NONE,VULNERABLE,BLIND,0.9495,0.6026,"{""BLIND"": 0.6026, ""IN_BAND"": 0.3964, ""NONE"": 0.0001, ""SECOND_ORDER"": 0.0009}",1,norm,False,False
stable_expected_detection_suite/javascript/013_IN_BAND_template_email_search.js,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,1.0,0.9391,"{""BLIND"": 0.0, ""IN_BAND"": 0.9391, ""NONE"": 0.001, ""SECOND_ORDER"": 0.0599}",0,__file__,True,True
stable_expected_detection_suite/javascript/014_IN_BAND_concat_update_status.js,VULNERABLE,IN_BAND,VULNERABLE,NONE,1.0,0.8811,"{""BLIND"": 0.0001, ""IN_BAND"": 0.1187, ""NONE"": 0.8811, ""SECOND_ORDER"": 0.0001}",2,toInt,True,False
stable_expected_detection_suite/javascript/015_BLIND_login_row_exists.js,VULNERABLE,BLIND,VULNERABLE,NONE,1.0,0.9971,"{""BLIND"": 0.0, ""IN_BAND"": 0.0029, ""NONE"": 0.9971, ""SECOND_ORDER"": 0.0}",2,toInt,True,False
stable_expected_detection_suite/javascript/016_BLIND_count_gt_zero.js,VULNERABLE,BLIND,VULNERABLE,NONE,0.9996,1.0,"{""BLIND"": 0.0, ""IN_BAND"": 0.0, ""NONE"": 1.0, ""SECOND_ORDER"": 0.0}",2,toInt,True,False
stable_expected_detection_suite/javascript/017_SECOND_ORDER_saved_segment.py.js,VULNERABLE,SECOND_ORDER,VULNERABLE,SECOND_ORDER,1.0,1.0,"{""BLIND"": 0.0, ""IN_BAND"": 0.0, ""NONE"": 0.0, ""SECOND_ORDER"": 1.0}",0,__file__,True,True
stable_expected_detection_suite/javascript/018_SECOND_ORDER_stored_query_runner.js,VULNERABLE,SECOND_ORDER,VULNERABLE,SECOND_ORDER,1.0,0.6704,"{""BLIND"": 0.0, ""IN_BAND"": 0.3296, ""NONE"": 0.0, ""SECOND_ORDER"": 0.6704}",0,__file__,True,True
stable_expected_detection_suite/javascript/019_SAFE_db_loaded_value_as_param.js,SAFE,NONE,VULNERABLE,BLIND,0.9495,0.6026,"{""BLIND"": 0.6026, ""IN_BAND"": 0.3964, ""NONE"": 0.0001, ""SECOND_ORDER"": 0.0009}",1,norm,False,False
stable_expected_detection_suite/javascript/020_SAFE_plain_service_no_sql.js,SAFE,NONE,VULNERABLE,BLIND,0.9495,0.6026,"{""BLIND"": 0.6026, ""IN_BAND"": 0.3964, ""NONE"": 0.0001, ""SECOND_ORDER"": 0.0009}",1,norm,False,False
stable_expected_detection_suite/php/031_SAFE_pdo_select_parameterized.php,SAFE,NONE,VULNERABLE,IN_BAND,1.0,0.9758,"{""BLIND"": 0.0208, ""IN_BAND"": 0.9758, ""NONE"": 0.0, ""SECOND_ORDER"": 0.0033}",1,norm,False,False
stable_expected_detection_suite/php/032_SAFE_pdo_update_parameterized.php,SAFE,NONE,VULNERABLE,IN_BAND,1.0,0.9758,"{""BLIND"": 0.0208, ""IN_BAND"": 0.9758, ""NONE"": 0.0, ""SECOND_ORDER"": 0.0033}",1,norm,False,False
stable_expected_detection_suite/php/033_SAFE_placeholder_in_list.php,SAFE,NONE,VULNERABLE,IN_BAND,1.0,0.9758,"{""BLIND"": 0.0208, ""IN_BAND"": 0.9758, ""NONE"": 0.0, ""SECOND_ORDER"": 0.0033}",1,norm,False,False
stable_expected_detection_suite/php/034_BLIND_login_num_rows.php,VULNERABLE,BLIND,VULNERABLE,IN_BAND,1.0,0.9758,"{""BLIND"": 0.0208, ""IN_BAND"": 0.9758, ""NONE"": 0.0, ""SECOND_ORDER"": 0.0033}",1,norm,True,False
stable_expected_detection_suite/php/035_BLIND_count_bool.php,VULNERABLE,BLIND,VULNERABLE,IN_BAND,1.0,0.9758,"{""BLIND"": 0.0208, ""IN_BAND"": 0.9758, ""NONE"": 0.0, ""SECOND_ORDER"": 0.0033}",1,norm,True,False
