file,expected_verdict,expected_attack_type,final_verdict,final_attack_type,pass,final_risk_score,ml_executed,ml_risk_score,ml_predicted_verdict,ml_predicted_attack_type,rule_score,verdict_source,decision_source,fusion_reason,raw_evidence_override_applied,pre_override_verdict,pre_override_attack_type,pre_override_risk_score,worst_chunk,chunk_count,model_version,model_sequence_length,final_matches_ml_label,final_matches_ml_type,final_matches_ml_label_and_type
python/001_SAFE_nested_allowlist_decoys.py,SAFE,NONE,SAFE,NONE,True,0.08,True,0.8522,VULNERABLE,IN_BAND,0.9,raw_safe_query_builder,raw_evidence_override,raw_safe_query_builder,True,VULNERABLE,IN_BAND,0.9,__file__,8,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
python/002_IN_BAND_helper_returns_raw_order.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.9,ml_confident_vulnerable_evidence_typed,ml_supported_by_evidence,ml_confident_vulnerable_evidence_typed,False,VULNERABLE,IN_BAND,1.0,__file__,8,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/003_BLIND_nested_exists_helper.py,VULNERABLE,BLIND,VULNERABLE,BLIND,True,1.0,True,1.0,VULNERABLE,BLIND,0.9,raw_python_blind_concat,ml_supported_by_evidence,raw_python_blind_concat,False,VULNERABLE,BLIND,1.0,__file__,9,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/004_SECOND_ORDER_stored_filter_chain.py,VULNERABLE,SECOND_ORDER,VULNERABLE,SECOND_ORDER,True,1.0,True,1.0,VULNERABLE,SECOND_ORDER,0.9,raw_second_order_flow,ml_supported_by_evidence,raw_second_order_flow,False,VULNERABLE,SECOND_ORDER,1.0,__file__,8,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/005_SAFE_db_value_as_param_long_gap.py,SAFE,NONE,SAFE,NONE,True,0.25,True,0.8522,VULNERABLE,IN_BAND,0.25,rule,rule_primary,rule,False,SAFE,NONE,0.25,audit,128,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
python/006_IN_BAND_execute_alias.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,0.9997,True,0.9997,VULNERABLE,IN_BAND,0.9,ml_confident_vulnerable_evidence_typed,ml_supported_by_evidence,ml_confident_vulnerable_evidence_typed,False,VULNERABLE,IN_BAND,0.9997,run,7,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/007_SAFE_sql_strings_comments_only.py,SAFE,NONE,SAFE,NONE,True,0.25,True,0.9654,VULNERABLE,IN_BAND,0.9,raw_no_valid_sql_sink,raw_evidence_override,raw_no_valid_sql_sink,True,VULNERABLE,IN_BAND,0.9654,__file__,1,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
python/008_BLIND_time_based.py,VULNERABLE,BLIND,VULNERABLE,BLIND,True,1.0,True,1.0,VULNERABLE,BLIND,0.25,raw_time_based_blind,ml_primary,raw_time_based_blind,False,VULNERABLE,BLIND,1.0,run,7,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
javascript/009_SAFE_sequelize_replacements_decoy.js,SAFE,NONE,SAFE,NONE,True,0.0001,True,0.0001,SAFE,NONE,0.25,rule,rule_primary,rule,False,SAFE,NONE,0.0001,norm,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
javascript/010_IN_BAND_replacements_exist_template_used.js,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,0.9,True,0.0031,SAFE,NONE,0.9,raw_js_direct_raw_sqli,rule_primary,raw_js_direct_raw_sqli,False,VULNERABLE,IN_BAND,0.9,__file__,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,False,False
