file,expected_verdict,expected_attack_type,final_verdict,final_attack_type,pass,final_risk_score,ml_executed,ml_risk_score,ml_predicted_verdict,ml_predicted_attack_type,rule_score,verdict_source,decision_source,fusion_reason,raw_evidence_override_applied,pre_override_verdict,pre_override_attack_type,pre_override_risk_score,worst_chunk,chunk_count,model_version,model_sequence_length,final_matches_ml_label,final_matches_ml_type,final_matches_ml_label_and_type
python/001_SAFE_safe_orm_bind_params.py,SAFE,NONE,SAFE,NONE,True,0.25,True,0.8522,VULNERABLE,IN_BAND,0.25,rule_safety_net,rule_safety_net,rule_safety_net,False,SAFE,NONE,0.25,Repo,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
python/002_SAFE_safe_query_builder_chain.py,SAFE,NONE,SAFE,NONE,True,0.25,True,0.8522,VULNERABLE,IN_BAND,0.25,raw_no_valid_sql_sink,rule_safety_net,raw_no_valid_sql_sink,False,SAFE,NONE,0.25,Repo,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
python/003_SAFE_safe_enum_order_direction.py,SAFE,NONE,VULNERABLE,IN_BAND,False,1.0,True,1.0,VULNERABLE,IN_BAND,0.25,ml_confident_vulnerable_evidence_typed,ml_primary,ml_confident_vulnerable_evidence_typed,False,VULNERABLE,IN_BAND,1.0,__file__,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/004_SAFE_safe_group_by_allowlist.py,SAFE,NONE,VULNERABLE,IN_BAND,False,1.0,True,1.0,VULNERABLE,IN_BAND,0.25,ml_confident_vulnerable_evidence_typed,ml_primary,ml_confident_vulnerable_evidence_typed,False,VULNERABLE,IN_BAND,1.0,__file__,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/005_SAFE_safe_int_cast_identifier.py,SAFE,NONE,SAFE,NONE,True,0.25,True,0.8522,VULNERABLE,IN_BAND,0.25,rule_safety_net,rule_safety_net,rule_safety_net,False,SAFE,NONE,0.25,Repo,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
python/006_SAFE_safe_constant_concat.py,SAFE,NONE,VULNERABLE,IN_BAND,False,0.9,True,0.8522,VULNERABLE,IN_BAND,0.25,raw_python_inband_concat,raw_evidence_override,raw_python_inband_concat,True,SAFE,NONE,0.25,Repo,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/007_IN_BAND_unsafe_raw_orm_template.py,VULNERABLE,IN_BAND,SAFE,NONE,False,0.25,True,0.9958,VULNERABLE,IN_BAND,0.9,raw_no_valid_sql_sink,raw_evidence_override,raw_no_valid_sql_sink,True,VULNERABLE,IN_BAND,0.9958,__file__,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
python/008_IN_BAND_unsafe_fake_escape_replace.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.9,ml_confident_vulnerable_evidence_typed,ml_supported_by_evidence,ml_confident_vulnerable_evidence_typed,False,VULNERABLE,IN_BAND,1.0,__file__,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/009_IN_BAND_unsafe_blacklist_sanitizer.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.9,ml_confident_vulnerable_evidence_typed,ml_supported_by_evidence,ml_confident_vulnerable_evidence_typed,False,VULNERABLE,IN_BAND,1.0,__file__,5,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/010_IN_BAND_unsafe_raw_order_direction.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.9,ml_confident_vulnerable_evidence_typed,ml_supported_by_evidence,ml_confident_vulnerable_evidence_typed,False,VULNERABLE,IN_BAND,1.0,__file__,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/011_IN_BAND_unsafe_raw_group_having.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.9,ml_confident_vulnerable_evidence_typed,ml_supported_by_evidence,ml_confident_vulnerable_evidence_typed,False,VULNERABLE,IN_BAND,1.0,__file__,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/012_IN_BAND_unsafe_error_based_cast.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.25,ml_confident_vulnerable_evidence_typed,ml_primary,ml_confident_vulnerable_evidence_typed,False,VULNERABLE,IN_BAND,1.0,__file__,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/013_IN_BAND_unsafe_raw_collate.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.9,ml_confident_vulnerable_evidence_typed,ml_supported_by_evidence,ml_confident_vulnerable_evidence_typed,False,VULNERABLE,IN_BAND,1.0,__file__,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/014_IN_BAND_unsafe_raw_join_target.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.9,ml_confident_vulnerable_evidence_typed,ml_supported_by_evidence,ml_confident_vulnerable_evidence_typed,False,VULNERABLE,IN_BAND,1.0,__file__,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/015_BLIND_blind_waitfor_delay.py,VULNERABLE,BLIND,VULNERABLE,BLIND,True,1.0,True,1.0,VULNERABLE,BLIND,0.9,raw_time_based_blind,ml_supported_by_evidence,raw_time_based_blind,False,VULNERABLE,BLIND,1.0,__file__,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/016_BLIND_blind_benchmark_sleep.py,VULNERABLE,BLIND,VULNERABLE,BLIND,True,1.0,True,1.0,VULNERABLE,BLIND,0.25,raw_time_based_blind,ml_primary,raw_time_based_blind,False,VULNERABLE,BLIND,1.0,__file__,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/017_BLIND_blind_case_when_exists.py,VULNERABLE,BLIND,VULNERABLE,BLIND,True,1.0,True,1.0,VULNERABLE,BLIND,0.9,ml_confident_with_blind_evidence,ml_supported_by_evidence,ml_confident_with_blind_evidence,False,VULNERABLE,BLIND,1.0,__file__,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/018_BLIND_blind_oob_like_dns_unc.py,VULNERABLE,BLIND,VULNERABLE,IN_BAND,False,1.0,True,1.0,VULNERABLE,BLIND,0.25,ml_confident_vulnerable_evidence_typed,ml_primary,ml_confident_vulnerable_evidence_typed,False,VULNERABLE,IN_BAND,1.0,__file__,4,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,False,False
