file,expected_verdict,expected_attack_type,final_verdict,final_attack_type,pass,final_risk_score,ml_executed,ml_risk_score,ml_predicted_verdict,ml_predicted_attack_type,rule_score,verdict_source,decision_source,fusion_reason,raw_evidence_override_applied,pre_override_verdict,pre_override_attack_type,pre_override_risk_score,worst_chunk,chunk_count,model_version,model_sequence_length,final_matches_ml_label,final_matches_ml_type,final_matches_ml_label_and_type
python/001_SAFE_django_raw_params_order_allowlist.py,SAFE,NONE,SAFE,NONE,True,0.08,True,0.9939,VULNERABLE,IN_BAND,0.9,raw_safe_query_builder,raw_evidence_override,raw_safe_query_builder,True,VULNERABLE,IN_BAND,0.9,__file__,66,model1-cnn-bilstm-dual-head-hardcase-v7,256,False,True,False
python/002_IN_BAND_django_raw_email_concat.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,0.9989,True,0.9989,VULNERABLE,IN_BAND,0.9,raw_python_inband_concat,ml_supported_by_evidence,raw_python_inband_concat,False,VULNERABLE,IN_BAND,0.9989,search,46,model1-cnn-bilstm-dual-head-hardcase-v7,256,True,True,True
python/003_BLIND_django_permission_exists.py,VULNERABLE,BLIND,VULNERABLE,BLIND,True,0.9939,True,0.9939,VULNERABLE,IN_BAND,0.9,raw_python_blind_concat,ml_supported_by_evidence,raw_python_blind_concat,False,VULNERABLE,BLIND,0.9939,__file__,46,model1-cnn-bilstm-dual-head-hardcase-v7,256,True,False,False
python/004_SECOND_ORDER_django_saved_filter_helper.py,VULNERABLE,SECOND_ORDER,VULNERABLE,SECOND_ORDER,True,0.9939,True,0.9939,VULNERABLE,IN_BAND,0.9,raw_second_order_flow,ml_supported_by_evidence,raw_second_order_flow,False,VULNERABLE,SECOND_ORDER,0.9939,__file__,77,model1-cnn-bilstm-dual-head-hardcase-v7,256,True,False,False
python/005_SAFE_sqlalchemy_text_params.py,SAFE,NONE,SAFE,NONE,True,0.08,True,0.9939,VULNERABLE,IN_BAND,0.25,raw_safe_query_builder,rule_primary,raw_safe_query_builder,False,SAFE,NONE,0.25,norm,55,model1-cnn-bilstm-dual-head-hardcase-v7,256,False,True,False
python/006_IN_BAND_sqlalchemy_text_fstring.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,0.9988,True,0.9988,VULNERABLE,IN_BAND,0.9,ml+rule,ml_supported_by_evidence,ml+rule,False,VULNERABLE,IN_BAND,0.9988,search,55,model1-cnn-bilstm-dual-head-hardcase-v7,256,True,True,True
python/007_SAFE_obfuscated_params_builder.py,SAFE,NONE,SAFE,NONE,True,0.08,True,0.9939,VULNERABLE,IN_BAND,0.9,raw_safe_query_builder,raw_evidence_override,raw_safe_query_builder,True,VULNERABLE,IN_BAND,0.9939,__file__,126,model1-cnn-bilstm-dual-head-hardcase-v7,256,False,True,False
python/008_IN_BAND_obfuscated_alias_execute.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,0.989,True,0.9939,VULNERABLE,IN_BAND,0.25,raw_python_inband_concat,ml_primary,raw_python_inband_concat,False,VULNERABLE,IN_BAND,0.989,run,126,model1-cnn-bilstm-dual-head-hardcase-v7,256,True,True,True
python/009_SAFE_huge_repository_one_thousand_lines.py,SAFE,NONE,SAFE,NONE,True,0.08,True,0.9939,VULNERABLE,IN_BAND,0.9,raw_safe_query_builder,raw_evidence_override,raw_safe_query_builder,True,VULNERABLE,IN_BAND,0.9,__file__,1006,model1-cnn-bilstm-dual-head-hardcase-v7,256,False,True,False
python/010_SECOND_ORDER_huge_stored_sql_late_sink.py,VULNERABLE,SECOND_ORDER,VULNERABLE,SECOND_ORDER,True,0.9998,True,0.9998,VULNERABLE,BLIND,0.9,raw_second_order_flow,ml_supported_by_evidence,raw_second_order_flow,False,VULNERABLE,SECOND_ORDER,0.9998,execute_at_end,1007,model1-cnn-bilstm-dual-head-hardcase-v7,256,True,False,False
