file,expected_verdict,expected_attack_type,final_verdict,final_attack_type,pass,final_risk_score,ml_executed,ml_risk_score,ml_predicted_verdict,ml_predicted_attack_type,rule_score,verdict_source,decision_source,fusion_reason,raw_evidence_override_applied,pre_override_verdict,pre_override_attack_type,pre_override_risk_score,worst_chunk,chunk_count,model_version,model_sequence_length,final_matches_ml_label,final_matches_ml_type,final_matches_ml_label_and_type
python/001_SAFE_django_raw_params_order_allowlist.py,SAFE,NONE,SAFE,NONE,True,0.08,True,0.8637,VULNERABLE,IN_BAND,0.9,raw_safe_query_builder,raw_evidence_override,raw_safe_query_builder,True,VULNERABLE,IN_BAND,0.9,__file__,66,model1-cnn-bilstm-dual-head-flow-generalization-v14,256,False,True,False
python/002_IN_BAND_django_raw_email_concat.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.9,raw_python_inband_concat,ml_supported_by_evidence,raw_python_inband_concat,False,VULNERABLE,IN_BAND,1.0,search,46,model1-cnn-bilstm-dual-head-flow-generalization-v14,256,True,True,True
python/003_BLIND_django_permission_exists.py,VULNERABLE,BLIND,VULNERABLE,BLIND,True,1.0,True,1.0,VULNERABLE,BLIND,0.9,raw_python_blind_concat,ml_supported_by_evidence,raw_python_blind_concat,False,VULNERABLE,BLIND,1.0,can_export,46,model1-cnn-bilstm-dual-head-flow-generalization-v14,256,True,True,True
python/004_SECOND_ORDER_django_saved_filter_helper.py,VULNERABLE,SECOND_ORDER,VULNERABLE,SECOND_ORDER,True,0.9999,True,0.9999,VULNERABLE,SECOND_ORDER,0.9,raw_second_order_flow,ml_supported_by_evidence,raw_second_order_flow,False,VULNERABLE,SECOND_ORDER,0.9999,run,77,model1-cnn-bilstm-dual-head-flow-generalization-v14,256,True,True,True
python/005_SAFE_sqlalchemy_text_params.py,SAFE,NONE,SAFE,NONE,True,0.08,True,0.0,SAFE,NONE,0.25,raw_safe_query_builder,rule_safety_net,raw_safe_query_builder,False,SAFE,NONE,0.25,SqlAlchemySafeRepo,55,model1-cnn-bilstm-dual-head-flow-generalization-v14,256,True,True,True
python/006_IN_BAND_sqlalchemy_text_fstring.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.9,ml_confident_vulnerable_evidence_typed,ml_supported_by_evidence,ml_confident_vulnerable_evidence_typed,False,VULNERABLE,IN_BAND,1.0,search,55,model1-cnn-bilstm-dual-head-flow-generalization-v14,256,True,True,True
python/007_SAFE_obfuscated_params_builder.py,SAFE,NONE,SAFE,NONE,True,0.08,True,0.0001,SAFE,NONE,0.9,raw_safe_query_builder,raw_evidence_override,raw_safe_query_builder,True,VULNERABLE,IN_BAND,0.9,__file__,126,model1-cnn-bilstm-dual-head-flow-generalization-v14,256,True,True,True
python/008_IN_BAND_obfuscated_alias_execute.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.25,raw_python_inband_concat,ml_primary,raw_python_inband_concat,False,VULNERABLE,IN_BAND,1.0,run,126,model1-cnn-bilstm-dual-head-flow-generalization-v14,256,True,True,True
python/009_SAFE_huge_repository_one_thousand_lines.py,SAFE,NONE,SAFE,NONE,True,0.08,True,0.0002,SAFE,NONE,0.9,raw_safe_query_builder,raw_evidence_override,raw_safe_query_builder,True,VULNERABLE,IN_BAND,0.9,__file__,1006,model1-cnn-bilstm-dual-head-flow-generalization-v14,256,True,True,True
python/010_SECOND_ORDER_huge_stored_sql_late_sink.py,VULNERABLE,SECOND_ORDER,VULNERABLE,SECOND_ORDER,True,1.0,True,1.0,VULNERABLE,IN_BAND,0.9,raw_second_order_flow,ml_supported_by_evidence,raw_second_order_flow,False,VULNERABLE,SECOND_ORDER,1.0,execute_at_end,1007,model1-cnn-bilstm-dual-head-flow-generalization-v14,256,True,False,False
