file,expected_verdict,expected_attack_type,final_verdict,final_attack_type,pass,final_risk_score,ml_executed,ml_risk_score,ml_predicted_verdict,ml_predicted_attack_type,rule_score,verdict_source,decision_source,fusion_reason,raw_evidence_override_applied,pre_override_verdict,pre_override_attack_type,pre_override_risk_score,worst_chunk,chunk_count,model_version,model_sequence_length,final_matches_ml_label,final_matches_ml_type,final_matches_ml_label_and_type
python/001_SAFE_tenant_billing_repository.py,SAFE,NONE,SAFE,NONE,True,0.08,True,0.9984,VULNERABLE,IN_BAND,0.9,raw_safe_query_builder,raw_evidence_override,raw_safe_query_builder,True,VULNERABLE,IN_BAND,0.9,__file__,17,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
python/002_IN_BAND_support_ticket_search.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,0.9,True,0.9984,VULNERABLE,IN_BAND,0.9,raw_python_inband_concat,rule_primary,raw_python_inband_concat,False,VULNERABLE,IN_BAND,0.9,__file__,17,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/003_BLIND_passwordless_login.py,VULNERABLE,BLIND,VULNERABLE,BLIND,True,0.9867,True,0.9984,VULNERABLE,IN_BAND,0.9,raw_python_blind_concat,ml_supported_by_evidence,raw_python_blind_concat,False,VULNERABLE,BLIND,0.9867,consume,17,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,False,False
python/004_SECOND_ORDER_saved_widget_filter.py,VULNERABLE,SECOND_ORDER,VULNERABLE,SECOND_ORDER,True,0.9,True,0.9984,VULNERABLE,IN_BAND,0.9,raw_second_order_flow,rule_primary,raw_second_order_flow,False,VULNERABLE,SECOND_ORDER,0.9,__file__,18,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,False,False
python/005_SAFE_db_value_bound_parameter.py,SAFE,NONE,SAFE,NONE,True,0.08,True,0.9984,VULNERABLE,IN_BAND,0.25,raw_safe_db_loaded_bound_param,rule_safety_net,raw_safe_db_loaded_bound_param,False,SAFE,NONE,0.25,RequestContext,18,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
python/006_IN_BAND_raw_table_selector_decoy.py,VULNERABLE,IN_BAND,VULNERABLE,IN_BAND,True,0.9,True,0.9984,VULNERABLE,IN_BAND,0.9,raw_python_inband_concat,rule_primary,raw_python_inband_concat,False,VULNERABLE,IN_BAND,0.9,__file__,17,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/007_BLIND_feature_gate_count.py,VULNERABLE,BLIND,VULNERABLE,BLIND,True,1.0,True,1.0,VULNERABLE,BLIND,0.9,raw_python_blind_concat,ml_supported_by_evidence,raw_python_blind_concat,False,VULNERABLE,BLIND,1.0,enabled,17,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
python/008_SECOND_ORDER_stored_sql_job_runner.py,VULNERABLE,SECOND_ORDER,VULNERABLE,SECOND_ORDER,True,0.9963,True,0.9984,VULNERABLE,IN_BAND,0.62,raw_second_order_flow,ml_primary,raw_second_order_flow,False,VULNERABLE,SECOND_ORDER,0.9963,run,18,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,False,False
python/009_SAFE_customer_search_decoys.py,SAFE,NONE,SAFE,NONE,True,0.08,True,0.9984,VULNERABLE,IN_BAND,0.9,raw_safe_allowlisted_identifier,raw_evidence_override,raw_safe_allowlisted_identifier,True,VULNERABLE,IN_BAND,0.9,__file__,17,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,False,True,False
python/010_SECOND_ORDER_cached_order_expression.py,VULNERABLE,SECOND_ORDER,VULNERABLE,SECOND_ORDER,True,1.0,True,1.0,VULNERABLE,SECOND_ORDER,0.9,raw_second_order_flow,ml_supported_by_evidence,raw_second_order_flow,False,VULNERABLE,SECOND_ORDER,1.0,board,18,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,256,True,True,True
